sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] το Κυβερνήτης:6 του Τέξας:4 είναι ένας νομικός:4 όρος στο [MASK] [MASK] [MASK] [MASK] . [SEP],Τέξας:4,Τέξα:4,0,Τέξας:4,1
[CLS] το Γερουσία:3 του Αϊντάχο:5 είναι ένας νομικός:4 όρος στο [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Αϊντάχο:5,Αϊνντάχο:6,0,Αϊντάχο:5,1
[CLS] το Γερουσία:3 του Κάνσας:4 είναι ένας νομικός:4 όρος στο [MASK] [MASK] [MASK] [MASK] . [SEP],Κάνσας:4,Κάνσα:3,0,Κάνσας:4,1
[CLS] το Βουλή:3 των Αντιπροσώπων:7 του Τέξας:4 είναι ένας νομικός:4 όρος στο [MASK] [MASK] [MASK] [MASK] . [SEP],Τέξας:4,Τέξα:4,0,Τέξας:4,1
[CLS] το Γερουσία:3 του Τέξας:4 είναι ένας νομικός:4 όρος στο [MASK] [MASK] [MASK] [MASK] . [SEP],Τέξας:4,Τέξα:4,0,Τέξας:4,1
[CLS] το Γερουσία:3 του Αρκάνσας:5 είναι ένας νομικός:4 όρος στο [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Αρκάνσας:5,Αρκάνσα:4,0,Αρκάνσας:5,1
[CLS] το Πανεπιστήμιο του Λάγος:3 βρίσκεται στο [MASK] [MASK] [MASK] . [SEP],Λάγος:3,Λάγο:3,0,Λάγος:3,1
[CLS] το Αμβέρσα:5 είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Αμβέρσα:5,Αμβέρσας:6,0,Αμβέρσα:5,1
[CLS] [ DEF:2 ; X ] Κάτω:3 Ρήνος:3 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],Ρήνος:3,Ρήνο:3,0,Ρήνος:3,1
[CLS] [ DEF:2 ; X ] Άνω:2 Ρήνος:3 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],Ρήνος:3,Ρήνο:3,0,Ρήνος:3,1
[CLS] το Κυτταρική:5 βιολογία:3 είναι μέρος του [MASK] [MASK] [MASK] . [SEP],βιολογία:3,βιολογίας:3,0,βιολογία:3,1
[CLS] το μαύρο:3 τσάι:4 είναι μέρος του [MASK] [MASK] [MASK] [MASK] . [SEP],τσάι:4,τσαιού:4,0,τσάι:4,1
[CLS] το θεωρητική:5 φιλοσοφία:5 είναι μέρος του [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],φιλοσοφία:5,φιλοσοφίας:6,0,φιλοσοφία:5,1
[CLS] το Ιατρικό:3 λογισμικό:6 είναι μέρος του [MASK] [MASK] [MASK] . [SEP],Ιατρική:3,Ιατρικής:4,0,Ιατρική:3,1
[CLS] το Γένοβα:4 είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP],Γένοβα:4,Γένοβας:5,0,Γένοβα:4,1
