sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] το Δήμαρχος:5 του Λονδίνου:4 είναι ένας νομικός:4 όρος στο Μείζον:4 Λονδίνο:4 . [SEP],Μείζον:4 Λονδίνο:4,Μείζον:4 Λονδίνο:4,1,Μείζον:4 Λονδίνο:4,1,-1.16601
[CLS] το Εθνόσημο:5 της Ερυθραίας:6 είναι ένας νομικός:4 όρος στο Ερυθραία:6 . [SEP],Ερυθραία:6,Ερυθραία:6,1,Ερυθραία:6,1,-0.03537
[CLS] το Αρχηγός:4 της αντιπολίτευσης:7 είναι ένας νομικός:4 όρος στο Πακιστάν:5 . [SEP],Πακιστάν:5,Πακιστάν:5,1,Πακιστάν:5,1,-0.37667
[CLS] το Πρωθυπουργός:6 της Ζιμπάμπουε:8 είναι ένας νομικός:4 όρος στο Ζιμπάμπουε:8 . [SEP],Ζιμπάμπουε:8,Ζιμπάμπουε:8,1,Ζιμπάμπουε:8,1,-0.00119
[CLS] το Σημαία:4 της Τουρκίας:4 είναι ένας νομικός:4 όρος στο Τουρκία:4 . [SEP],Τουρκία:4,Τουρκία:4,1,Τουρκία:4,1,-0.02482
[CLS] το Υπουργός:2 Προεδρίας:5 της Πρωσίας:3 είναι ένας νομικός:4 όρος στο Πρωσία:3 . [SEP],Πρωσία:3,Πρωσία:3,1,Πρωσία:3,1,-0.55951
[CLS] το Πρωθυπουργός:6 της Αλγερίας:4 είναι ένας νομικός:4 όρος στο Αλγερία:4 . [SEP],Αλγερία:4,Αλγερία:4,1,Αλγερία:4,1,-0.02961
[CLS] το Πρωθυπουργός:6 του Μαυροβουνίου:7 είναι ένας νομικός:4 όρος στο Μαυροβούνιο:7 . [SEP],Μαυροβούνιο:7,Μαυροβούνιο:7,1,Μαυροβούνιο:7,1,-0.25857
[CLS] το Εθνοσυνέλευση:8 του Κεμπέκ:6 είναι ένας νομικός:4 όρος στο Κεμπέκ:6 . [SEP],Κεμπέκ:6,Κεμπέκ:6,1,Κεμπέκ:6,1,-0.01061
[CLS] το πρόεδρος του Ευρωκοινοβουλίου:9 είναι ένας νομικός:4 όρος στο Ευρωπαϊκή:6 Ένώση:4 . [SEP],Ευρωπαϊκή:6 Ένώση:4,Ευρωπαϊκή:6 Ένώση:4,1,Ευρωπαϊκή:6 Ένωση,0,-1.22972
[CLS] το Σημαία:4 του Μποναίρ:5 είναι ένας νομικός:4 όρος στο Μποναίρ:5 . [SEP],Μποναίρ:5,Μποναίρ:5,1,Μποναίρ:5,1,-0.01505
[CLS] το Κυβέρνηση:5 της Ρωσίας:2 είναι ένας νομικός:4 όρος στο Ρωσία:2 . [SEP],Ρωσία:2,Ρωσία:2,1,Ρωσία:2,1,-0.30076
[CLS] το Πρωθυπουργός:6 του Ηνωμένου:3 Βασιλείου:4 είναι ένας νομικός:4 όρος στο Άνωμένο:3 Βασίλειο:2 . [SEP],Άνωμένο:3 Βασίλειο:2,Άνωμένο:3 Βασίλειο:2,1,Ηνωμένο:3 Βασίλειο:2,0,-2.47870
[CLS] το Πρωθυπουργός:6 της Σερβίας:3 είναι ένας νομικός:4 όρος στο Σερβία:3 . [SEP],Σερβία:3,Σερβία:3,1,Σερβία:3,1,-0.28638
[CLS] το Σημαία:4 των Τερκς:4 και Κάικος:4 είναι ένας νομικός:4 όρος στο Τερκ:3 ά . [SEP],Τερκ:3 ά,Τερκ:3 ά,1,Τερκ:3 και Κάικος:4,0,-2.42929
[CLS] το Κυβερνήτης:6 της Βόρειας:4 Ντακότα:4 είναι ένας νομικός:4 όρος στο Βόρεια:4 Ντακότα:4 . [SEP],Βόρεια:4 Ντακότα:4,Βόρεια:4 Ντακότα:4,1,Βόρεια:4 Ντακότα:4,1,-0.20285
[CLS] το Πρόεδρος:2 της Υεμένης:4 είναι ένας νομικός:4 όρος στο Υεμένη:3 . [SEP],Υεμένη:3,Υεμένη:3,1,Υεμένη:3,1,-0.09512
[CLS] το Κυβερνήτης:6 της Νότιας:4 Ντακότα:4 είναι ένας νομικός:4 όρος στο Νότια:3 Ντακότα:4 . [SEP],Νότια:3 Ντακότα:4,Νότια:3 Ντακότα:4,1,Νότια:3 Ντακότα:4,1,-0.03828
[CLS] το Σημαία:4 της Σιγκαπούρης:7 είναι ένας νομικός:4 όρος στο Σιγκαπούρη:7 . [SEP],Σιγκαπούρη:7,Σιγκαπούρη:7,1,Σιγκαπούρη:7,1,-0.26340
[CLS] το Λοκ:3 Σάμπα:4 είναι ένας νομικός:4 όρος στο Ινδία:2 . [SEP],Ινδία:2,Ινδία:2,1,Ινδία:2,1,-0.89146
[CLS] το Κάτοικος:5 Αρμοστής:4 του Πουέρτο:4 Ρίκο:2 είναι ένας νομικός:4 όρος στο Πουέρτο:4 Ρίκο:2 . [SEP],Πουέρτο:4 Ρίκο:2,Πουέρτο:4 Ρίκο:2,1,Πουέρτο:4 Ρίκο:2,1,-0.00402
[CLS] το Κοινοβούλιο:4 της Κροατίας:4 είναι ένας νομικός:4 όρος στο Κροατία:4 . [SEP],Κροατία:4,Κροατία:4,1,Κροατία:4,1,-0.26199
[CLS] το Σημαία:4 του Μεξικού:3 είναι ένας νομικός:4 όρος στο Μεξικό:3 . [SEP],Μεξικό:3,Μεξικό:3,1,Μεξικό:3,1,-0.13926
[CLS] το Σημαία:4 του Κιριμπάτι:7 είναι ένας νομικός:4 όρος στο Κιριμπάτι:7 . [SEP],Κιριμπάτι:7,Κιριμπάτι:7,1,Κιριμπάτι:7,1,-0.00408
[CLS] το Σημαία:4 των Σαμόα:4 είναι ένας νομικός:4 όρος στο Σαμόα:4 . [SEP],Σαμόα:4,Σαμόα:4,1,Σαμόα:4,1,-0.01360
[CLS] το Ευρωπαϊκό:6 Ελεγκτικό:4 Συνέδριο:6 είναι ένας νομικός:4 όρος στο Ευρωπαϊκή:6 Ένώση:4 . [SEP],Ευρωπαϊκή:6 Ένώση:4,Ευρωπαϊκή:6 Ένώση:4,1,Ευρωπαϊκή:6 Ένωση,0,-1.63484
[CLS] το Υπουργός:2 Άμυνας:4 του Βιετνάμ:6 είναι ένας νομικός:4 όρος στο Βιετνάμ:6 . [SEP],Βιετνάμ:6,Βιετνάμ:6,1,Βιετνάμ:6,1,-0.00454
