sentence,prediction1,prediction2,gold,is_same1,is_same2,is_single_word
[CLS] ο Πρωθυπουργός του Ηνωμένου Βασιλείου είναι ένας νομικός όρος στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],United Kingdom,Βνωμένο Βασίλειο,Άνωμένο Βασίλειο | Άνωμένο Βασίλειο | Άνωμένο Βασίλειο | Άνωμένο Βασίλειο | GBR | U . K . | UK | United Kingdom | United Kingdom of Great Britain and Northern Ireland | [UNK] | GBR | U . K . | UK | United Kingdom | United Kingdom of Great Britain and Northern Ireland | [UNK],True,False,False
[CLS] το Ευρωπαϊκό Ελεγκτικό Συνέδριο είναι ένας νομικός όρος στην [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],Europe,ΕΕ,Ευρωπαϊκή Ένώση | Ευρωπαϊκή Ένώση | [UNK] | Ευρωπαϊκή Ένώση | [UNK] | Ευρωπαϊκή Ένώση | E . U . | EU | Europe | European Union | Union | eu | [UNK] | E . U . | EU | Europe | European Union | Union | eu | [UNK],True,False,False
[CLS] η Γερουσία της Αϊόβα είναι ένας νομικός όρος στην [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Japan,Αϊόβα,"Αϊόβα | Άιοβα | Αϊόβα | Άιοβα | Αϊόβα | Αϊόβα | IA | Iowa | Iowa , United States | State of Iowa | The Land Between Two Rivers | IA | Iowa | Iowa , United States | State of Iowa | The Land Between Two Rivers",False,True,False
[CLS] η Σημαία των Ηνωμένων Πολιτειών είναι ένας νομικός όρος στην [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Americas,Αμερική,Άνωμένες Πμερική | Αμερική | Η . Π . Α . | ΗΠΑ | Χνωμένες Πολιτείες | Άνωμένες Πμερική | Άνωμένες Πολιτική | Αμερική | Η . Π . Α . | ΗΠΑ | Χνωμένες Πολιτείες | Άνωμένες Πμερική | Άνωμένες Πολιτική | Άνωμένες Πμερική | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False,True,False
[CLS] η Γενική Συνέλευση της Αϊόβα είναι ένας νομικός όρος στην [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Japan,Αϊόβα,"Αϊόβα | Άιοβα | Αϊόβα | Άιοβα | Αϊόβα | Αϊόβα | IA | Iowa | Iowa , United States | State of Iowa | The Land Between Two Rivers | IA | Iowa | Iowa , United States | State of Iowa | The Land Between Two Rivers",False,True,False
[CLS] ο Βασικός Νόμος για την Ομοσπονδιακή Δημοκρατία της Γερμανίας είναι ένας νομικός όρος στην [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Γερμανία,Ευρώπη,Γερμανία | Γερμανία | Ομοσπονδιακή | Γερμανία | Ομοσπονδιακή | Δυτική Γερμανία,True,False,True
[CLS] η Γερουσία της Βιρτζίνια είναι ένας νομικός όρος στην [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Virginia,Αμερική,"Βιρτζίνια | Βιργίνια | Βιργινία | Βιρτζίνια | Βιργίνια | Βιργινία | Βιρτζίνια | Βιρτζίνια | Commonwealth of Virginia | Old Dominion | State of Virginia | VA | Virginia | Virginia , United States | Commonwealth of Virginia | Old Dominion | State of Virginia | VA | Virginia | Virginia , United States",True,False,False
[CLS] το Λούφτβαφφε είναι ένας νομικός όρος στην [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Germany,Γερμανία,Ναζιστική Γερμανία | Ναζιστική Γερμανία | Ναζιστική Γερμανία | Ναζιστική Γερμανία | Germany | Greater German Reich | Nazi Germany | Third Reich | Germany | Greater German Reich | Nazi Germany | Third Reich,True,False,False
[CLS] η Βουλή των Αντιπροσώπων της Αριζόνα είναι ένας νομικός όρος στην [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],Αμερική,Αριζόνα,Αριζόνα | Αριζόνα | Αριζόνα | Αριζόνα | AZ | Arizona | State of Arizona | The Grand Canyon State | AZ | Arizona | State of Arizona | The Grand Canyon State,False,True,False
[CLS] η Σημαία της Δημοκρατίας της Κίνας είναι ένας νομικός όρος στην [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],Taiwan,Κίνα,Δημοκρατία Κ | Δημοκρατία Κ | Ταϊβάν | Δημοκρατία Κ | Ταϊβάν | Δημοκρατία Κ | Chinese Taipei | Chunghwa Minkuo | Chunghwa Minkwo | Formosa | Free China | Free area of the Republic of China | Nationalist China | ROC | Republic of China | Republic of China ( Taiwan ) | Taiwan | tw | [UNK] | Chinese Taipei | Chunghwa Minkuo | Chunghwa Minkwo | Formosa | Free China | Free area of the Republic of China | Nationalist China | ROC | Republic of China | Republic of China ( Taiwan ) | Taiwan | tw | [UNK],True,False,False
