Q31	Βέλγιο
Q42	Ντάγκλας Άνταμς
Q45	Πορτογαλία
Q51	Ανταρκτική
Q58	Πέος
Q68	Ηλεκτρονικός υπολογιστής
Q75	Διαδίκτυο
Q144	σκύλος
Q148	Λαϊκή Δημοκρατία της Κίνας
Q155	Βραζιλία
Q163	Γιορκσάιρ
Q177	Πίτσα
Q183	Γερμανία
Q233	Μάλτα
Q288	Τουρ
Q298	Χιλή
Q362	Β΄ Παγκόσμιος Πόλεμος
Q368	Αουγκούστο Πινοσέτ
Q398	Μπαχρέιν
Q431	Ζωολογία
Q506	Άνθος
Q514	ανατομία
Q544	Ηλιακό σύστημα
Q556	υδρογόνο
Q585	Όσλο
Q586	Βόννη
Q595	Intouchables
Q597	Λισαβόνα
Q619	Νικόλαος Κοπέρνικος
Q633	Νηλ Γιανγκ
Q634	Πλανήτης
Q648	Λιλ
Q686	Βανουάτου
Q694	Νότια Ολλανδία
Q722	βανάδιο
Q771	Μασαχουσέτη
Q801	Ισραήλ
Q807	Λωζάνη
Q819	Λάος
Q859	Πλάτωνας
Q863	Τατζικιστάν
Q869	Ταϊλάνδη
Q878	Ηνωμένα Αραβικά Εμιράτα
Q880	λευκόχρυσος
Q891	Νίζνι Νόβγκοροντ
Q912	Μάλι
Q916	Ανγκόλα
Q1044	Σιέρα Λεόνε
Q1049	Σουδάν
Q1057	μεταβολισμός
Q1071	γεωγραφία
Q1183	Πουέρτο Ρίκο
Q1204	Ιλινόι
Q1276	Λέοναρντ Κόεν
Q1297	Σικάγο
Q1363	Τρίπουρα
Q1469	Λίγηρας
Q1489	Πόλη του Μεξικού
Q1494	Μισισίπι
Q1499	Ουταράχαντ
Q1511	Ρίχαρντ Βάγκνερ
Q1522	Νέο Μεξικό
Q1533	Καράκας
Q1644	Έλβας
Q1707	Κίελο
Q1711	Πότσδαμ
Q1721	Βίζμπαντεν
Q1757	Ελσίνκι
Q1860	Αγγλικά
Q1890	Μπενγκούλου
Q2003	Νέα Γη και Λαμπραντόρ
Q2073	Δημοκρατία των Κόμι
Q2096	Έντμοντον
Q2119	Μάνχαϊμ
Q2132	Βικτωρία Βρετανικής Κολομβίας
Q2185	Ζωρζ Πομπιντού
Q2471	Σαναά
Q2518	Χέλμουτ Κολ
Q2546	Βρωμιούχο κάλιο
Q2683	Πάρμα
Q2751	Σιένα
Q3586	Ιστ Τζάβα
Q3680	Κράι Κρασνοντάρ
Q3751	Πράια
Q3761	Άκκρα
Q3769	Γαλλική Γουιάνα
Q3799	Πόρτο-Νόβο
Q3825	Λιμπρεβίλ
Q3863	αστεροειδής
Q3881	Λουσάκα
Q3908	Γαλικία
Q3955	Βαϊμάρη
Q4128	Λουί Αραγκόν
Q4131	Χάμιλτον
Q4261	Μισέλ Πλατινί
Q4762	Ρόι Μπαντ
Q5146	Πορτογαλικά
Q5383	Ντέιβιντ Μπόουι
Q5693	Βόρεια Σαβονία
Q5710	Δημοκρατία του Μπασκορτοστάν
Q5711	Ουουσίμαα
Q5713	Μέρι
Q5811	Μαζάτσο
Q5813	Κανάριες Νήσοι
Q5836	Τολέδο
Q6106	Πόρτλαντ, Όρεγκον
Q6225	Κόβεντρι
Q6543	Δημοκρατία της Χακασίας
Q6654	Κροατικά
Q7024	Λουγκάνο
Q7150	οικολογία
Q7162	γενετική
Q7186	Μαρία Κιουρί
Q7239	Οργανισμός
Q7270	πολιτεία
