Q31	Belgique
Q42	Douglas Adams
Q45	Portugal
Q51	Antarctique
Q58	pénis
Q68	ordinateur
Q75	Internet
Q144	chien
Q148	République populaire de Chine
Q155	Brésil
Q163	Yorkshire
Q177	pizza
Q183	Allemagne
Q233	Malte
Q288	Tours
Q298	Chili
Q362	Seconde Guerre mondiale
Q368	Augusto Pinochet
Q398	Bahreïn
Q431	zoologie
Q506	fleur
Q514	anatomie
Q544	système solaire
Q556	hydrogène
Q585	Oslo
Q586	Bonn
Q595	Intouchables
Q597	Lisbonne
Q619	Nicolas Copernic
Q633	Neil Young
Q634	planète
Q648	Lille
Q686	Vanuatu
Q694	Hollande-Méridionale
Q722	vanadium
Q771	Massachusetts
Q801	Israël
Q807	Lausanne
Q819	Laos
Q859	Platon
Q863	Tadjikistan
Q869	Thaïlande
Q878	Émirats arabes unis
Q880	platine
Q891	Nijni Novgorod
Q912	Mali
Q916	Angola
Q1044	Sierra Leone
Q1049	Soudan
Q1057	métabolisme
Q1071	géographie
Q1183	Porto Rico
Q1204	Illinois
Q1276	Leonard Cohen
Q1297	Chicago
Q1363	Tripura
Q1469	Loire
Q1489	Mexico
Q1494	Mississippi
Q1499	Uttarakhand
Q1511	Richard Wagner‎‎
Q1522	Nouveau-Mexique
Q1533	Caracas
Q1644	Elbe
Q1707	Kiel
Q1711	Potsdam
Q1721	Wiesbaden
Q1757	Helsinki
Q1860	anglais
Q1890	Bengkulu
Q2003	Terre-Neuve-et-Labrador
Q2073	République des Komis
Q2096	Edmonton
Q2119	Mannheim
Q2132	Victoria
Q2185	Georges Pompidou
Q2190	Coluche
Q2471	Sanaa
Q2518	Helmut Kohl
Q2546	Bromure de potassium
Q2683	Parme
Q2751	Sienne
Q3344	2e arrondissement de Lyon
Q3586	Java oriental
Q3680	Krasnodar
Q3751	Praia
Q3761	Accra
Q3769	Guyane
Q3799	Porto-Novo
Q3825	Libreville
Q3863	astéroïde
Q3881	Lusaka
Q3908	Galice
Q3949	Unna
Q3955	Weimar
Q4128	Louis Aragon
Q4131	Hamilton
Q4261	Michel Platini
Q4762	Roy Budd
Q5146	portugais
Q5257	Satavahana
Q5383	David Bowie
Q5693	Savonie du Sud
Q5710	Bachkirie
Q5711	Uusimaa
Q5713	Mary
Q5811	Masaccio
Q5813	Îles Canaries
Q5836	Tolède
Q5948	arrondissement de Wesermarsch
Q6106	Portland
Q6167	Teuva
Q6225	Coventry
Q6253	Arrondissement de Rhin Neuss
Q6543	Khakassie
Q6654	croate
Q7024	Lugano
Q7150	écologie
Q7162	génétique
Q7186	Marie Curie
Q7239	organisme
Q7270	république
Q7318	Troisième Reich
Q7320	Parti nazi
Q7336	Otto Frank
Q7346	John Coltrane
Q7348	Indus
Q7365	muscle
Q7525	Sébastopol
Q7550	Loutsk
Q7788	Khabarovsk
Q7911	arrondissement de Main-Kinzig
Q7918	bulgare
Q7922	pédagogie
Q8028	fée
Q8093	Nintendo
Q8269	Le Dit du Genji
Q8341	jazz
Q8413	Constantin Ier
Q8449	Wikipédia en espagnol
Q8488	Jeux olympiques d'été de 1992
Q8502	montagne
Q8577	Jeux olympiques d'été de 2012
Q8739	Archimède
Q8826	Palma de Majorque
Q8860	Orion
Q9016	Bundesautobahn 6
Q9085	Mandaluyong
Q9091	biélorusse
Q9266	salade
Q9279	Bandar Seri Begawan
Q9337	Région flamande
Q9365	Douchanbé
Q9366	Google
Q9372	Sima Qian
Q9377	rein
Q9394	lapin
Q9458	Mahomet
Q9513	Avul Pakir Jainulabdeen Abdul Kalam
Q9620	nerf
Q9655	artère
Q9688	aéroport de Berlin-Tegel
Q9694	aéroport d'Amsterdam-Schiphol
Q9964	W
Q10000	Wikipédia en néerlandais
Q10090	Hindu
Q10151	Concours Eurovision de la chanson 2005
Q10184	Frankfurter Allgemeine Zeitung
Q10686	Belfast
Q10829	Bundesautobahn 63
Q10833	Bundesautobahn 65
Q10844	Bundesautobahn 73
Q11272	Microsoft Excel
Q11341	Internet Information Services
Q11378	Shiva
Q11425	image animée
Q11436	aéronef
Q11463	Adobe Systems
Q11633	photographie
Q11890	Tocotronic
Q12009	Ell & Nikki
Q12029	addiction
Q12134	sphère céleste
Q12193	Brest
Q12325	James Buchanan
Q12461	Le Monde
Q12512	basilique Saint-Pierre
Q12544	Empire byzantin
Q12560	Empire ottoman
Q12567	Vikings
Q12584	Maine-et-Loire
Q12661	Nord
Q12751	Haute-Savoie
Q12779	Tarn-et-Garonne
Q12821	escalope à la milanaise
Q12861	poudre à canon
Q12892	Anvers
Q13275	somali
Q13353	Montserrat
Q13669	Visayas centrales
Q13855	Vic
Q13972	Tartu
Q13974	NBC
Q13982	Alberto Bayo
Q14277	William Herschel
Q14974	Vladimir Ier
Q15090	Lérida
Q15174	Shenzhen
Q15196	district de Theni
Q15373	Karimnagar
Q15975	Montesquieu
Q16052	Seelze
Q16310	province de Venise
Q16413	Teredo
Q16559	Austin
Q16572	Canton
Q16766	Andy Lau
Q16867	Edgar Allan Poe
Q16869	Constantinople
Q16917	hôpital
Q16967	Zhejiang
Q17019	Bundesautobahn 113
Q18097	Corée
Q18127	label discographique
Q18428	Amarcord
Q18492	Stamford AFC
Q18594	Sony Interactive Entertainment
Q18608	mémoire explicite
Q18661	Middlesbrough FC
Q19616	Rai
Q19837	Steve Jobs
Q20709	Swedish House Mafia
Q20716	Groupe Samsung
Q20717	Sebastian Ingrosso
Q20937	Gyeonggi
Q21319	Parramatta
Q21556	Mercedes Valdivieso
Q22424	Pendjab
Q22438	Entzheim
Q22660	Illkirch-Graffenstaden
Q22690	Metz
Q22857	escalade
Q23066	Cumbria
Q23082	Durham
Q23090	Lincolnshire
Q23169	Oxfordshire
Q23220	Berkshire
Q23240	Essex
Q23310	Cossogno
Q23406	mer Rouge
Q23522	Balkans
Q23556	Atlanta
Q23766	Ebenezer Howard
Q23800	La Valette
Q23831	The Office
Q24603	Independence
Q25227	Antilles néerlandaises
Q25956	station spatiale
Q25973	Hermann Hesse
Q26036	Fred Lynn
Q26540	satellite artificiel
Q26876	Taylor Swift
Q26931	Evaristo Felice Dall'Abaco
Q27224	Bentley
Q27275	Asie centrale
Q27302	Bibliothèque nationale allemande
Q27433	Afrique centrale
Q27449	Europe du Sud
Q27550	Delage
Q27686	hôtel
Q27939	chant
Q28161	économie du travail
Q28206	Augusta
Q28260	Lincoln
Q28271	Annapolis
Q28428	Baekje
Q28747	Nicotinamide adénine dinucléotide phosphate
Q28823	textile
Q28848	Saint Paul
Q29330	Pim's
Q29339	Maniche
Q29544	Delia Derbyshire
Q29558	président de la République de Finlande
Q29570	Chevrolet
Q29852	Itala
Q30461	président
Q31722	Jean Lefebvre de Cheverus
Q31959	Pat Martino
Q32635	nom de domaine
Q32724	vénitien
Q32816	The Sarah Jane Adventures
Q33231	photographe
Q33486	Hartford
Q33673	kannada
Q33866	Theodore Roosevelt
Q33881	Tour de France
Q34370	Rotterdam
Q34486	hélicoptère
Q34600	Kyoto
Q34624	Giovanni Gabrieli
Q34647	Johannesbourg
Q34692	Kingston
Q34726	mythologie grecque
Q34755	Kickstarter
Q35056	bugne
Q35484	Médine
Q35591	Tigre
Q35715	Australie-Méridionale
Q35874	humour
Q35962	Maserati
Q36033	Mitsubishi
Q36105	Charles Bronson
Q36633	prostitution
Q36947	Salvador
Q37062	Jean VIII Paléologue
Q37407	.af
Q37562	Donatello
Q37615	Luciano Pavarotti
Q37643	guerre du Golfe
Q37736	Ciscaucasie
Q37756	alliage
Q37813	écosystème
Q38383	Bulldog anglais
Q38484	Romano Prodi
Q38559	Chien d'eau portugais
Q38610	Dominion de Terre-Neuve
Q38807	Suva
Q39632	Chevrolet HHR
Q39645	sémantique
Q40110	Muhammad Jamalul Alam II
Q40325	Springfield
Q40348	avocat
Q40722	Dilma Rousseff
Q40763	graine
Q40971	Packard Motor Car Company
Q41064	Livre des Psaumes
Q41483	Le Bon, la Brute et le Truand
Q41657	Romain III Argyre
Q41746	Achille
Q41921	Rosa Parks
Q42369	Festival de Cannes
Q42731	Fernando Torres
Q42985	Ivan Pavlov
Q43010	quartz
Q43070	Donetsk
Q43175	drapeau du Japon
Q43193	camion
Q43269	Zulia
Q43290	Talmud
Q43292	sultan
Q43482	Francs
Q43627	Mac OS
Q43689	Ambroise de Milan
Q43749	Kazimierz Nycz
Q43919	Salem
Q43922	Léon XIII
Q43932	Angus Young
Q44209	Music and Me
Q44271	Riona Hazuki
Q44428	Ray Lewis
Q44527	Ryan Fraser
Q44571	GNU
Q44624	Pierre Canisius
Q44626	Crétacé
Q44842	Giovanni Battista Re
Q45294	Eugen Roth
Q45341	mer de Chine orientale
Q45573	Eli Whiteside
Q45610	Acker Bilk
Q45713	Titan
Q46087	Anouk Teeuwe
Q46277	Romano d'Ezzelino
Q46479	Zarah Leander
Q46830	Robert Hooke
Q46942	Lietuvos Rytas
Q47002	Carlton
Q47092	viol
Q47097	Guizhou
Q47146	interface utilisateur
Q47149	Sylvestre Ier
Q47151	aéroport international de Kazan
Q47243	Elfriede Jelinek
Q47264	Hassan
Q47488	Cour pénale internationale
Q47716	Charleston
Q47853	San Giovanni Lupatoto
Q47995	Cavallino-Treporti
Q48280	Marianne Faithfull
Q48296	téfiline
Q48544	Cosme de Médicis
Q48777	La Famille des collines
Q48848	Loppa
Q49019	La Vipère noire
Q49162	Lowell
Q49179	Worcester
Q49222	Chesapeake
Q49229	Durham
Q49448	Robert Georges Nivelle
Q49546	acétone
Q49718	Vilebrequin (moteur)
Q49744	Victor Horta
Q50615	Akershus
Q50656	Zacharie Astruc
Q50719	gare d'Amsterdam Centraal
Q49907	Alfons et Aloys Kontarsky
Q51490	George Stevens
Q52062	pays nordiques
Q52636	Minorque
Q53097	Acura
Q53294	Arvid Lindman
Q53381	Tolmezzo
Q53484	Sias
Q53668	Lovex
Q54801	La politique peut être différente
Q55405	Bimal Roy
Q55453	Augusto Genina
Q55502	Royaume de Jérusalem
Q56045	Loi fondamentale pour la République fédérale d'Allemagne
Q56152	comté d'Ulster
Q56228	Bruno
