Q2	पृथ्वी
Q5	मानव
Q15	आफ्रिका
Q16	कॅनडा
Q17	जपान
Q18	दक्षिण अमेरिका
Q20	नॉर्वे
Q21	इंग्लंड
Q22	स्कॉटलंड
Q25	वेल्स
Q26	उत्तर आयर्लंड
Q27	आयर्लंडचे प्रजासत्ताक
Q28	हंगेरी
Q29	स्पेन
Q30	अमेरिकेची संयुक्त संस्थाने
Q31	बेल्जियम	🇧🇪
Q32	लक्झेंबर्ग	लक्झेम्बर्ग	लक्सम्बर्ग
Q33	फिनलंड
Q34	स्वीडन
Q35	डेन्मार्क
Q36	पोलंड	🇵🇱
Q37	लिथुएनिया
Q38	इटली
Q39	CH	स्वित्झर्लंड
Q40	ऑस्ट्रिया
Q41	ग्रीस
Q42	डग्लस अॅडम्स
Q43	तुर्कस्तान
Q44	बियर
Q45	पोर्तुगाल
Q46	युरोप
Q48	आशिया
Q49	उत्तर अमेरिका
Q51	अंटार्क्टिका
Q52	विकिपीडिया
Q55	नेदरलँड्स
Q58	शिश्न
Q60	न्यू यॉर्क शहर
Q61	वॉशिंग्टन
Q62	सॅन फ्रान्सिस्को
Q64	बर्लिन
Q65	लॉस एंजेल्स
Q66	बोईंग
Q67	एरबस
Q68	संगणक विज्ञान
Q70	बर्न
Q71	जिनिव्हा
Q72	झ्युरिक
Q75	महाजाल
Q76	बराक ओबामा
Q77	उरुग्वे
Q78	बासल
Q79	इजिप्त
Q84	लंडन
Q85	कैरो
Q86	डोकेदुखी
Q87	अलेक्झांड्रिया, इजिप्त
Q88	अलेक्झांड्रीया
Q89	सफरचंद
Q90	पॅरिस
Q95	Google	गूगल
Q96	मेक्सिकन प्रजासत्ताक	मेक्सिको	🇲🇽
Q99	कॅलिफोर्निया
Q100	बॉस्टन
Q107	अवकाश
Q111	मंगळ	मंगळ ग्रह
Q112	मार्स
Q114	केनिया
Q115	इथियोपिया
Q117	घाना
Q140	सिंह
Q142	फ्रान्स
Q143	एस्पेरांतो
Q144	कुत्रा
Q145	युनायटेड किंग्डम
Q148	चीन
Q150	फ्रेंच भाषा
Q152	मासा
Q153	इथेनॉल
Q154	मद्य
Q155	ब्राझील
Q159	रशिया
Q163	यॉर्कशायर
Q165	समुद्र
Q166	काळा समुद्र
Q172	टोराँटो
Q173	अलाबामा
Q174	साओ पाउलो
Q175	साओ पाउलो
Q176	क्वेबेक
Q177	पिझ्झा
Q183	जर्मनी
Q184	बेलारूस
Q185	लॅरी सॅंगर
Q188	जर्मन भाषा
Q189	आइसलँड
