ο	ART;DEF;MASC;SG;NOM
του	ART;DEF;MASC;SG;GEN
τον	ART;DEF;MASC;SG;ACC
οι	ART;DEF;MASC;PL;NOM
των	ART;DEF;MASC;PL;GEN
τους	ART;DEF;MASC;PL;ACC
η	ART;DEF;FEM;SG;NOM
της	ART;DEF;FEM;SG;GEN
την	ART;DEF;FEM;SG;ACC
οι	ART;DEF;FEM;PL;NOM
των	ART;DEF;FEM;PL;GEN
τις	ART;DEF;FEM;PL;ACC
το	ART;DEF;NEUT;SG;NOM
του	ART;DEF;NEUT;SG;GEN
το	ART;DEF;NEUT;SG;ACC
τα	ART;DEF;NEUT;PL;NOM
των	ART;DEF;NEUT;PL;GEN
τα	ART;DEF;NEUT;PL;ACC
στου	ART;PREPDEF;MASC;SG;GEN
στον	ART;PREPDEF;MASC;SG;ACC
στων	ART;PREPDEF;MASC;PL;GEN
στους	ART;PREPDEF;MASC;PL;ACC
στης	ART;PREPDEF;FEM;SG;GEN
στην	ART;PREPDEF;FEM;SG;ACC
στων	ART;PREPDEF;FEM;PL;GEN
στις	ART;PREPDEF;FEM;PL;ACC
στου	ART;PREPDEF;NEUT;SG;GEN
στο	ART;PREPDEF;NEUT;SG;ACC
στων	ART;PREPDEF;NEUT;PL;GEN
στα	ART;PREPDEF;NEUT;PL;ACC
ένας	ART;INDEF;MASC;SG;NOM
ενός	ART;INDEF;MASC;SG;GEN
έναν	ART;INDEF;MASC;SG;ACC
μία	ART;INDEF;FEM;SG;NOM
μίας	ART;INDEF;FEM;SG;GEN
μία	ART;INDEF;FEM;SG;ACC
ένα	ART;INDEF;NEUT;SG;NOM
ενός	ART;INDEF;NEUT;SG;GEN
ένα	ART;INDEF;NEUT;SG;ACC
