sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] τα Πρωθυπουργός:6 του Καναδά:5 είναι ένας νομικός:4 όρος στο [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Καναδά:5,Καναδά:5,1,Καναδάς:5,0
[CLS] τα Κοινοβούλιο:4 του Καναδά:5 είναι ένας νομικός:4 όρος στο [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Καναδά:5,Καναδά:5,1,Καναδάς:5,0
[CLS] τα Κυβέρνηση:5 του Καναδά:5 είναι ένας νομικός:4 όρος στο [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Καναδά:5,Καναδά:5,1,Καναδάς:5,0
[CLS] τα Γενικός:3 Κυβερνήτης:6 του Καναδά:5 είναι ένας νομικός:4 όρος στο [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Καναδά:5,Καναδά:5,1,Καναδάς:5,0
[CLS] τα Σημαία:4 του Καναδά:5 είναι ένας νομικός:4 όρος στο [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Καναδά:5,Καναδά:5,1,Καναδάς:5,0
[CLS] το Πόλη:3 του Μεξικού:3 είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP],Μεξικού:3,Μεξικού:3,1,Μεξικό:3,0
[CLS] τα Πόλη:3 του Παναμά:4 είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP],Παναμά:4,Παναμά:4,1,Παναμάς:5,0
[CLS] [ DEF:2 ; X ] Μάζα:3 του Δία:2 πήρε το όνομά του από το [MASK] [MASK] . [SEP],Δία:2,Δία:2,1,Δίας:2,0
[CLS] [ DEF:2 ; X ] Χώρα:2 του Λίγηρα:4 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] . [SEP],Λίγηρα:4,Λίγηρα:4,1,Λίγηρας:4,0
[CLS] το δικηγόρος:5 ευρεσιτεχνιών:9 είναι υποκατηγορία:6 του [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],δικηγόρου:5,δικηγόρου:5,1,δικηγόρος:5,0
[CLS] το Ερασιτεχνική:6 αστρονομία:4 είναι υποκατηγορία:6 του [MASK] [MASK] [MASK] [MASK] . [SEP],αστρονομίας:4,αστρονομίας:4,1,αστρονομία:4,0
[CLS] το Διάδρομος:4 αεροδρομίου:5 είναι μέρος του [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],αεροδρομίου:5,αεροδρομίου:5,1,αεροδρόμιο:6,0
[CLS] το Εξελικτική:4 βιολογία:3 είναι μέρος του [MASK] [MASK] [MASK] . [SEP],βιολογίας:3,βιολογίας:3,1,βιολογία:3,0
[CLS] το Δέλτα:4 του Νείλου:3 είναι μέρος του [MASK] [MASK] [MASK] . [SEP],Νείλου:3,Νείλου:3,1,Νείλος:3,0
[CLS] το Τροχόδρομος:6 αεροδρομίου:5 είναι μέρος του [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],αεροδρομίου:5,αεροδρομίου:5,1,αεροδρόμιο:6,0
[CLS] το Κυβέρνηση:5 της Γαλλίας είναι μέρος του [MASK] . [SEP],Γαλλίας,Γαλλίας,1,Γαλλία,0
[CLS] το Επιστημονικός:7 ρατσισμός:5 είναι μέρος του [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],ρατσισμού:5,ρατσισμού:5,1,ρατσισμός:5,0
[CLS] το Διεθνής:5 Οικονομική:4 είναι μέρος των [MASK] [MASK] [MASK] [MASK] . [SEP],οικονομικών:4,οικονομικών:4,1,οικονομικά:4,0
[CLS] το Νάπολη:3 είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP],Νάπολης:3,Νάπολης:3,1,Νάπολη:3,0
[CLS] το Επαρχία:3 του Μιλάνου:4 είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP],Μιλάνου:4,Μιλάνου:4,1,Μιλάνο:4,0
[CLS] το Κυβερνείο:6 Μόσχας:5 είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Μόσχας:5,Μόσχας:5,1,Μόσχα:4,0
