Q2	ځمکه
Q5	انسان
Q15	افريقا
Q16	کاناډا
Q17	جاپان
Q18	سوېلي امريکا
Q20	ناروې
Q21	انګلېنډ
Q27	د آيرلېنډ جمهوريت
Q28	هنګري
Q29	اسپانیا
Q30	د امریکا متحده ایالات
Q31	بلجیم
Q32	لوګزامبورګ	لېکسامبورګ
Q33	فېنلانډ
Q34	سويډن
Q35	ډېنمارک
Q36	PL	پولنډ	🇵🇱
Q37	لېتوانيا
Q38	اېټاليا
Q39	CH	سويس
Q40	اتريش
Q41	يونان
Q43	تورکيه
Q44	بير
Q45	پرتګال
Q46	اروپا
Q48	آسيا
Q49	شمالي امريکا
Q51	انټارکټيکا
Q52	ويکيپېډيا
Q55	هالنډ
Q60	نيويارک
Q61	واشنګټن ډي سي
Q62	سان فرانسسکو
Q64	برلين
Q65	لاس انجلس
Q70	برن	بیرن
Q72	څوریخ
Q76	باراک حسين اوباما
Q78	بازل شتادت
Q79	مصر
Q84	لندن
Q85	قاهره
Q87	الکزنډريا
Q90	پاريس
Q95	Google	ګووګل
Q97	اتلانتيک سمندر
Q98	غلی سمندر
Q99	کالېفورنیا
Q111	مريخ	مریخ
Q114	کېنيا
Q115	اېتوپیا
Q117	گانا
Q142	فرانسه
Q144	سپی
Q145	بريتانيا
Q146	پيشو
Q148	چين د خلکو جمهوريت
Q150	فرانسوي
Q155	برازیل
Q159	روسیه
Q166	تور سمندر
Q172	ټورنټو
Q174	ساو پاولو
Q177	پيزا
Q180	ويکيمېډيا بنسټ
Q183	آلمان
Q184	بېلاروس
Q188	آلماني ژبه
Q189	آيسلېنډ
Q190	الله
Q191	اېسټونيا
Q193	زحل
Q207	جورج واکر بوش
Q211	لاتویا
Q212	اوکراین
Q213	چېک جمهوريت
Q214	سلواکيا
Q215	سلووانیا
Q217	مولدوا
Q218	رومانیا
Q219	بلغاريا	بلغاريه	بلغاریا
Q220	روم
Q221	د مقدونيې ولسمشريزه
Q222	البانیا
Q224	کروواسيا
Q227	آزربایجان
Q228	اندورا
Q229	قبرس
Q230	ګرجستان
Q232	قزاقستان
Q233	مالټا
Q235	موناکو
Q236	مانتېنېګرو
Q237	واټيکان ښار
Q238	سان مارینو
Q240	بروکسل
Q241	کیوبا
Q242	بېلیز
Q244	باربادوس
Q252	اندونيزيا
Q254	ولفګانګ امادیوس موزارت
Q255	لیودویګ وان بیتهووین
Q256	ترکي ژبه
Q258	سویلي افریقا
Q262	الجېريا
Q265	اوزبکستان
Q269	تاشكند
Q289	تلويزون
Q294	ایسلنډي ژبه
Q298	چېلي
Q302	عيسی
Q307	ګاليليو ګاليلی
Q309	پېښليک
Q313	زهره
Q319	مشتري
Q324	اورانوس
Q332	نیپټون
Q333	ستورپوهنه
Q334	سينګاپور
Q336	پوهنه
Q340	مونټريال
Q347	لیختن اشتاین
Q352	اډولف هټلر
Q355	Facebook	فېسبوک
Q361	لومړنۍ نړېواله جګړه
Q362	دويمه نړېواله جګړه
Q373	ويکيسفر
Q384	اسکوپیه
Q393	شچېچېن
Q395	شمېرپوهنه
Q397	لاتين ژبه
Q398	بحرین
Q399	ارمنستان
Q403	سربيا
Q405	سپوږمۍ
Q406	استانبول
Q408	آسټراليا
Q413	پنځپوهنه
Q414	ارجنټاین
Q418	مخابرات
Q419	پيرو
Q420	ژونپوهنه
Q423	شمالي کوريا
Q424	کمبودیا
Q428	قرآن
Q431	ژوپوهنه
Q432	اسلام
Q441	بوټپوهنه
Q458	اروپايي اتحاديه	🇪🇺
Q482	شعر
Q485	کمپيوټري ويروس
Q490	میلان
Q506	ګل
Q514	اناتومى
Q515	ښار
Q517	ناپليون بوناپارت
Q525	لمر
Q532	کلی
Q535	وېکټور هوګو
Q538	اقيانوسيه
Q544	لمريز غونډال
Q556	H	هايډروجن
Q567	انګېلا مېرکل
Q585	اوسلو
Q608	جنسي اړيکې
Q612	دوبۍ
Q629	O	آکسيجن
Q638	ټنګټکور
Q649	مسکو
Q652	ایټالیایي ژبه
Q657	چاډ
Q663	Al	الومېنيم
Q664	نیوزیلنډ
Q668	هند
Q670	سليکان
Q672	تووالو
Q677	Fe	اوسپنه
Q678	د تونګا پاچاهي
Q682	S	گوگړ
Q683	ساموا
Q685	سولومون ټاپوګان
Q690	دِلفت
Q691	نوې پاپوا ګینه
Q692	وېليم شېکسپيير
Q694	سویلي هالنډ
Q695	پالایو
Q697	ناورو
Q701	شمالي هالنډ
Q702	د میکرونزي فدرال ټاپوګان
Q705	ځیلاند
Q709	مارشال ټاپووان
Q711	مغولستان
Q716	تېتانيوم
Q718	سترنج
Q724	مین
Q726	اس
Q727	امسټرډام
Q730	سورينام
Q734	ګايانا
Q735	هونر
Q736	اېکوادور
Q748	بوديزم
Q749	خرونینګن
Q750	بولېویا
Q753	Cu	تامبه
Q759	نیو همپشایر
Q760	سېنټ لوسیا
Q762	ليونارډو ډاوېنچي
Q766	جمايکا
Q769	ګرېنادا
Q771	ماساچوست
Q772	درنته
Q773	افریسل
Q774	ګواتمالا
Q775	خلدرلنډ
Q782	هاوایی
Q783	هندوراس
Q786	ډومنيکان جمهوريت
Q788	شمالي قطبي سمندر
Q790	هایتي
Q792	اېلسلوادور
Q793	زووله
Q794	ايران
Q796	عراق
Q798	آسن
Q800	کوسټاریکا
Q801	اسرائیل
Q803	اوتریخت
Q804	پاناما
Q805	یمن
Q808	ویروس
Q810	اردن
Q811	نیکاراګوا
Q813	قرغزستان
Q817	کوېټ
Q819	لاووس
Q822	لېبنان
Q824	اورګان
Q826	مالديپ
Q828	امريکا لويه وچه
Q829	یوتا
Q833	مالیزیا
Q834	والیز
Q836	ميانمار
Q837	نيپال
Q842	عمان
Q843	پاکستان
Q846	قطر
Q851	سعودي عربستان
Q854	سریلانکا
Q855	جوزف سټالين
Q858	سوريه
Q859	اپلاتون
Q863	تاجيکستان
Q865	تایوان
Q868	ارستو
Q869	تايلنډ
Q871	As	ارسینک
Q874	ترکمنستان
Q876	Se	selenium
Q878	عربي متحده امارات
Q882	چارلس چاپلين
Q884	سوېلي کوريا
Q886	سمپسنز
Q889	افغانستان
Q900	کازان روسیه
Q902	بنګله دېش
Q905	فرانتس کافکا
Q912	مالي
Q913	سقراط
Q916	آنګولا
Q917	بوتان
Q921	برونای
Q924	تانزانیه
Q925	پاره
Q926	روالډ امونډسن
Q928	فلېپين
Q929	د منځنی افريقا ولسمشريزه
Q935	آيزاک نيوټن
Q937	آلبرټ آينشټاين
Q948	تونس
Q953	زېمبيا
Q954	زېمبابوې
Q956	بېجنګ
Q958	سوېلي سوډان
Q962	بېنين
Q963	بوتسوانا
Q965	بورکینا فاسو
Q967	بروندي
Q970	قمرټاپوګان
Q971	د کانګو جمهوريت
Q977	جېبوتي
Q980	بایرن
Q983	استوایي ګینه
Q985	باډن ورټمبرګ
Q986	اریتره
Q987	نوي دهلي
Q991	فيودور ميخايلوويچ داستاېفسکي
Q994	تفلیس
Q1000	گابون
Q1001	مهاتما ګاندي
Q1005	گامبيا
Q1006	ګینه
Q1008	عاج ساحل
Q1009	کامرون
Q1010	ماریبور
Q1011	کیپ ورډ
Q1014	لايبېريا
Q1015	کپر
Q1016	لېبيا
Q1017	آخن
Q1019	مادغاسکر
Q1020	مالاوي
Q1021	کراني
Q1025	موریتاني
Q1027	ماوریتوس
Q1028	مراکش
Q1029	موزمبيق
Q1030	نېمبیا
Q1032	نایجېر
Q1033	نايجېريا
Q1036	اوګاندا
Q1037	راونډا
Q1041	سېنېګال
Q1042	سیشل
Q1044	سېرالیون
Q1045	سومالیا
Q1049	سوډان
Q1050	سوازيلانډ
Q1058	نريندرا مودي
Q1061	گوجرات
Q1065	ملگري ملتونه
Q1069	ځمکپېژندنه
Q1070	احمداباد
Q1071	ځمکپوهنه
Q1073	ماغزه
Q1085	پراګ
Q1098	يورانيم
Q1101	شمالي برابانټ
Q1156	ممبای
Q1159	آندرا پرديش
Q1162	اروناچل پرديش
Q1164	آسام
Q1165	بهار
Q1166	میشیګان
Q1168	چتيس گړ
Q1171	گوا
Q1174	هريانه
Q1177	هماچل پرديش
Q1180	جمو او کشمير
Q1184	جارکنډ
Q1185	کرناټک
Q1186	کيرالا
Q1188	مدهيه پرديش
Q1191	مهاراشترا
Q1193	منيپور
Q1194	شلسویګ-هولشتاین
Q1195	ميگالايا
Q1196	مکلنبورګ-فورپومرن
Q1197	نیدرزاخسن
Q1198	نوردراین-وستفالن
Q1199	هسن
Q1202	زاخسن
Q1205	تورینګن
Q1206	زاخسن-انهالت
Q1207	شمالي داکوتا
Q1208	براندنبورګ
Q1209	برېمن
Q1211	سویلي داکوتا
Q1212	مونتانا
Q1214	وایومینګ
Q1218	بيت المقدس
Q1227	نوادا
Q1239	هندي سمندر
