Q2	지구
Q5	사람
Q15	아프리카
Q16	캐나다
Q17	일본
Q18	남아메리카
Q20	노르웨이
Q21	잉글랜드
Q22	스코틀랜드
Q25	웨일스
Q26	북아일랜드
Q27	아일랜드
Q28	헝가리
Q29	스페인
Q30	미국
Q31	벨기에
Q32	룩셈부르크
Q33	핀란드
Q34	스웨덴
Q35	덴마크
Q36	폴란드
Q37	리투아니아
Q38	이탈리아
Q39	스위스
Q40	오스트리아
Q41	그리스
Q42	더글러스 애덤스
Q43	터키
Q44	맥주
Q45	포르투갈
Q46	유럽
Q48	아시아
Q49	북아메리카
Q51	남극
Q52	위키백과
Q55	네덜란드
Q58	음경
Q60	뉴욕
Q61	워싱턴 D.C.
Q62	샌프란시스코
Q64	베를린
Q65	로스앤젤레스
Q66	보잉
Q67	에어버스
Q68	컴퓨터
Q70	베른
Q71	제네바
Q72	취리히
Q75	인터넷
Q76	버락 오바마
Q77	우루과이
Q78	바젤
Q79	이집트
Q82	프린터
Q84	런던
Q85	카이로
Q86	두통
Q87	알렉산드리아
Q88	알렉산드리아
Q89	사과
Q90	파리
Q95	구글
Q96	멕시코
Q99	캘리포니아주
Q100	보스턴
Q107	공간
Q111	화성
Q112	마르스
Q114	케냐
Q115	에티오피아
Q117	가나
Q140	사자
Q142	프랑스
Q143	에스페란토
Q144	개
Q145	영국
Q148	중화인민공화국
Q150	프랑스어
Q152	물고기
Q153	에탄올
Q154	술
Q155	브라질
Q156	알코올
Q159	러시아
Q163	요크셔
Q165	바다
Q166	흑해
Q172	토론토
Q173	앨라배마주
Q174	상파울루
Q175	상파울루주
Q176	퀘벡주
Q177	피자
Q183	독일
Q184	벨라루스
Q185	래리 생어
Q188	독일어
Q189	아이슬란드
Q190	하느님
Q191	에스토니아
Q192	데이비드 캐머런
Q193	토성
Q195	초콜릿
Q206	스티븐 하퍼
Q211	라트비아
Q212	우크라이나
Q213	체코
Q214	슬로바키아
Q215	슬로베니아
Q216	빌뉴스
Q217	몰도바
Q218	루마니아
Q219	불가리아
Q220	로마
Q221	북마케도니아
Q222	알바니아
Q223	그린란드
Q224	크로아티아
Q225	보스니아 헤르체고비나
Q226	누크
Q227	아제르바이잔
Q228	안도라
Q229	키프로스
Q230	조지아
Q231	왈롱
Q232	카자흐스탄
Q233	몰타
Q234	플랑드르
Q235	모나코
Q236	몬테네그로
Q237	바티칸 시국
Q238	산마리노
Q239	브뤼셀 시
Q240	브뤼셀
Q241	쿠바
Q242	벨리즈
Q243	에펠 탑
Q244	바베이도스
Q248	인텔
Q250	컴퓨터 자판
Q252	인도네시아
Q254	볼프강 아마데우스 모차르트
Q256	터키어
Q258	남아프리카 공화국
Q262	알제리
Q265	우즈베키스탄
Q268	포즈난
Q269	타슈켄트
Q270	바르샤바
Q276	유로비전 송 콘테스트
Q279	모데나
Q282	포도주
Q283	물
Q286	가죽
Q287	목재
Q288	투르
Q289	텔레비전
Q290	생물학적 성별
Q291	포르노그래피
Q294	아이슬란드어
Q298	칠레
Q302	예수
Q303	엘비스 프레슬리
