sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] dipotassium:4 tartrate:3 consists of [MASK] [MASK] . [SEP],two compounds,potassium:3,0,potassium:3,0
[CLS] basement membrane consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,basal lamina:2,0,basal lamina:2,0
[CLS] Leeward:2 Antilles consists of [MASK] [MASK] . [SEP],two islands,Bonaire:2,0,Bonaire:2,0
[CLS] Wagon:2 Wheels:2 consists of [MASK] [MASK] [MASK] [MASK] . [SEP],theagon:2 Wheels:2,marshmallow:4,0,marshmallow:4,0
[CLS] bone remodeling:3 consists of [MASK] . [SEP],bone,bone resorption:3,0,bone resorption:3,0
[CLS] Shed:2 Seven consists of [MASK] [MASK] [MASK] [MASK] . [SEP],the and ofs:2,Rick Witter:2,0,Rick Witter:2,0
[CLS] Fair Ground consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Pete Lesperance:3,0,Pete Lesperance:3,0
[CLS] After School consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],: . . . .,Raina:2,0,Raina:2,0
[CLS] Hawkwind:2 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,Keith Hale,0,Keith Hale,0
[CLS] Southeastern:2 Conference consists of [MASK] [MASK] [MASK] . [SEP],the conference Conference,Vanderbilt Commodores:2,0,Vanderbilt Commodores:2,0
[CLS] Stonefunkers:4 consists of [MASK] [MASK] [MASK] [MASK] . [SEP],thefu:2 ofs:2,Papa Dee,0,Papa Dee,0
[CLS] Lunatic:2 Soul consists of [MASK] [MASK] . [SEP],two tracks,Mariusz:2 Duda:2,0,Mariusz:2 Duda:2,0
[CLS] Asia consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,Geoff Downes:2,0,Geoff Downes:2,0
[CLS] dried:2 shredded:3 squid:2 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and squid:2,Teuthida:3,0,Teuthida:3,0
[CLS] Suicidal:3 Tendencies:3 consists of [MASK] [MASK] [MASK] . [SEP],two twos:2,Thundercat:2,0,Thundercat:2,0
[CLS] Ladysmith:2 Black Mambazo:3 consists of [MASK] [MASK] [MASK] . [SEP],three followings:2,Jockey:2 Shabalala:3,0,Jockey:2 Shabalala:3,0
[CLS] The Ghost of a Saber:2 Tooth:2 Tiger consists of [MASK] [MASK] . [SEP],two episodes,Sean Lennon,0,Sean Lennon,0
[CLS] Berner:2 Haselnusslebkuchen:6 consists of [MASK] [MASK] [MASK] . [SEP],two differents:2,hazelnut:3,0,hazelnut:3,0
[CLS] potassium:3 permanganate:4 consists of [MASK] . [SEP],sodium,potassium:3,0,potassium:3,0
[CLS] De Eneste:2 To consists of [MASK] [MASK] [MASK] . [SEP],two twos:2,Simon Kvamm:3,0,Simon Kvamm:3,0
[CLS] Quetschentaart:4 consists of [MASK] [MASK] [MASK] [MASK] . [SEP],the - ofs:2,Prunus domestica:2 subsp . insititia:3,0,Prunus domestica:2 subsp . insititia:3,0
[CLS] Peg:2 Meyer ' s Melody Kings consists of [MASK] [MASK] . [SEP],three songs,Jess Stacy,0,Jess Stacy,0
[CLS] Holden Snyder and Lily Walsh consists of [MASK] [MASK] . [SEP],the members,Holden Snyder,0,Holden Snyder,0
[CLS] Yale University Library consists of [MASK] [MASK] . [SEP],three libraries,Lewis Walpole:3 Library,0,Lewis Walpole:3 Library,0
[CLS] hoşmerim:4 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of . .,semolina:2,0,semolina:2,0
[CLS] tellurium:3 trioxide:2 consists of [MASK] [MASK] . [SEP],carbon compounds,tellurium:3,0,tellurium:3,0
[CLS] Lacabòn:3 consists of [MASK] . [SEP],municipalities,honey:2,0,honey:2,0
[CLS] Maximum Balloon:2 consists of [MASK] [MASK] [MASK] . [SEP],the Balloon:2,Dave Sitek:2,0,Dave Sitek:2,0
[CLS] Cupid:2 Car Club consists of [MASK] [MASK] . [SEP],two members,Ian Svenonius:3,0,Ian Svenonius:3,0
[CLS] PNNM:4 consists of [MASK] [MASK] [MASK] [MASK] . [SEP],P of ofs:2,potassium:3 nitrate:2,0,potassium:3 nitrate:2,0
[CLS] Utah State Legislature consists of [MASK] [MASK] [MASK] . [SEP],the Houses:2,Utah State Senate,0,Utah State Senate,0
[CLS] Rick Bryant and the Jive:2 Bombers:2 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the Bryant and and Bryant,Rick Bryant,0,Rick Bryant,0
[CLS] Bundeswehr consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,German Air Force,0,German Air Force,0
[CLS] Haarlemmerliede:4 en Spaarnwoude:4 consists of [MASK] [MASK] . [SEP],two municipalities,Spaarnwoude:4,0,Spaarnwoude:4,0
[CLS] Japan Open Tennis Championships consists of [MASK] . [SEP],Tennis,Pan Pacific Open,0,Pan Pacific Open,0
[CLS] Your Vegas consists of [MASK] [MASK] . [SEP],three music,Coyle:2 Girelli:3,0,Coyle:2 Girelli:3,0
[CLS] sukiyaki:4 consists of [MASK] [MASK] [MASK] [MASK] . [SEP],the ofyaki:3,beef:2,0,beef:2,0
[CLS] Del Amitri:2 consists of [MASK] [MASK] . [SEP],two municipalities,Justin Currie,0,Justin Currie,0
[CLS] RTZ:2 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of .s:2,Brad Delp:2,0,Brad Delp:2,0
[CLS] Heroes of Might:2 and Magic consists of [MASK] [MASK] [MASK] . [SEP],three followings:2,Might:2 & Magic Heroes VI,0,Might:2 & Magic Heroes VI,0
[CLS] Khrennikov:3 ' s Seven consists of [MASK] [MASK] [MASK] . [SEP],three sevens:2,Elena Firsova:3,0,Elena Firsova:3,0
[CLS] Canadian Armed Forces consists of [MASK] [MASK] [MASK] [MASK] . [SEP],"the , of Forces",Canadian Special Operations Forces Command,0,Canadian Special Operations Forces Command,0
[CLS] SerialPod:3 consists of [MASK] [MASK] [MASK] . [SEP],thePs:3,Trey:2 Anastasio:3,0,Trey:2 Anastasio:3,0
[CLS] Ilf:2 and Petrov consists of [MASK] [MASK] [MASK] . [SEP],the ands:2,Ilya:2 Ilf:2,0,Ilya:2 Ilf:2,0
[CLS] Beer cheese:2 consists of [MASK] . [SEP],Beer,processed:2 cheese:2,0,processed:2 cheese:2,0
[CLS] Silver Columns:3 consists of [MASK] [MASK] [MASK] [MASK] . [SEP],the Colums:3,Adem:2 Ilhan:2,0,Adem:2 Ilhan:2,0
[CLS] Rilo:2 Kiley:2 consists of [MASK] [MASK] [MASK] . [SEP],three followings:2,Jenny Lewis,0,Jenny Lewis,0
[CLS] Fredericks:2 Goldman Jones consists of [MASK] [MASK] [MASK] . [SEP],"two ,s:2",Carole Fredericks:2,0,Carole Fredericks:2,0
[CLS] Virus consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,Carl - Michael Eide:2,0,Carl - Michael Eide:2,0
[CLS] Gangrene:2 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,The Alchemist:3,0,The Alchemist:3,0
[CLS] Hugo Largo consists of [MASK] [MASK] [MASK] . [SEP],: :s:2,Mimi Goese:2,0,Mimi Goese:2,0
[CLS] The Cure consists of [MASK] [MASK] . [SEP],three musicians,Robert Smith,0,Robert Smith,0
[CLS] Yellowcard:2 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,Ryan Key,0,Ryan Key,0
[CLS] Late Triassic:3 consists of [MASK] [MASK] [MASK] [MASK] . [SEP],the -asscene:3,Rhaetian:4,0,Rhaetian:4,0
[CLS] Jacobites:2 consists of [MASK] [MASK] [MASK] [MASK] . [SEP],the . ofs:2,Nikki Sudden:2,0,Nikki Sudden:2,0
[CLS] Snafu:3 consists of [MASK] [MASK] . [SEP],two villages,Bobby Harrison,0,Bobby Harrison,0
[CLS] diphenhydramine:5 citrate:2 consists of [MASK] . [SEP],compounds,diphenhydramine:5,0,diphenhydramine:5,0
[CLS] neptunium:4 ( VI ) fluoride:3 consists of [MASK] [MASK] . [SEP],organic compounds,neptunium:4,0,neptunium:4,0
[CLS] National Collegiate Hockey Conference consists of [MASK] . [SEP],teams,Denver Pioneers:2 men ' s ice hockey,0,Denver Pioneers:2 men ' s ice hockey,0
[CLS] Le Tigre consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,JD:2 Samson,0,JD:2 Samson,0
[CLS] Makem:2 and Clancy consists of [MASK] [MASK] [MASK] . [SEP],the ands:2,Tommy Makem:2,0,Tommy Makem:2,0
[CLS] The Long Goodbye consists of [MASK] [MASK] . [SEP],two songs,Michael Cera:2,0,Michael Cera:2,0
[CLS] manganocene:3 consists of [MASK] [MASK] [MASK] [MASK] . [SEP],the - ofcene:2,manganese:2,0,manganese:2,0
[CLS] Mario franchise consists of [MASK] [MASK] [MASK] . [SEP],the Marios:2,Super Mario,0,Super Mario,0
[CLS] Inkheart:4 trilogy:2 consists of [MASK] [MASK] [MASK] . [SEP],three trilogy:2,Inkspell:4,0,Inkspell:4,0
[CLS] Scorcolga:4 consists of [MASK] [MASK] . [SEP],two species,walnut:3,0,walnut:3,0
[CLS] Jason Morgan and Elizabeth Webber consists of [MASK] [MASK] . [SEP],the musicians,Elizabeth Webber,0,Elizabeth Webber,0
[CLS] americium:3 ( IV ) oxide:2 consists of [MASK] [MASK] . [SEP],carbon compounds,americium:3,0,americium:3,0
[CLS] Academy Awards consists of [MASK] . [SEP],ceremonies,Academy Award for Best Animated Feature,0,Academy Award for Best Animated Feature,0
[CLS] Bruce - Baker - Moore consists of [MASK] [MASK] [MASK] [MASK] . [SEP],a of ofs:2,Gary Moore,0,Gary Moore,0
[CLS] Eocene:2 consists of [MASK] [MASK] . [SEP],Eocene:2,Bartonian:2,0,Bartonian:2,0
[CLS] conic:2 section consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,hyperbola:3,0,hyperbola:3,0
[CLS] The Other Steve and Edie:2 consists of [MASK] [MASK] [MASK] [MASK] . [SEP],Steve and and Steve,Edie:2 Falco,0,Edie:2 Falco,0
[CLS] Stiltskin:3 consists of [MASK] [MASK] . [SEP],two villages,Ray Wilson,0,Ray Wilson,0
[CLS] Queensrÿche:4 consists of [MASK] [MASK] . [SEP],two members,Parker Lundgren:2,0,Parker Lundgren:2,0
[CLS] Castellano:2 and Pipolo:2 consists of [MASK] . [SEP],municipalities,Franco Castellano:2,0,Franco Castellano:2,0
[CLS] Palazzo Ducale:2 Mantua:2 consists of [MASK] [MASK] . [SEP],two buildings,Camera degli Sposi:2,0,Camera degli Sposi:2,0
[CLS] Hotlegs:3 consists of [MASK] [MASK] [MASK] . [SEP],the ands:2,Eric Stewart,0,Eric Stewart,0
[CLS] Ryukyu:3 Kingdom consists of [MASK] . [SEP],Japan,Amami:2 Islands,0,Amami:2 Islands,0
[CLS] Jeungpyeon:4 consists of [MASK] [MASK] . [SEP],2 villages,rice flour:2,0,rice flour:2,0
[CLS] cheesesteak:4 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a . of .s:2,steak:2,0,steak:2,0
[CLS] MTR:2 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of .s:2,East Rail line,0,East Rail line,0
[CLS] Southern All Stars consists of [MASK] [MASK] . [SEP],three members,Kazuyuki:3 Sekiguchi:4,0,Kazuyuki:3 Sekiguchi:4,0
[CLS] DAX:2 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Lanxess:3,0,Lanxess:3,0
[CLS] zinc selenide:3 consists of [MASK] [MASK] . [SEP],carbon compounds,selenium:3,0,selenium:3,0
[CLS] Apollo 440 consists of [MASK] [MASK] [MASK] . [SEP],the Apollos:2,James Gardner,0,James Gardner,0
[CLS] Cloud2Ground:4 consists of [MASK] [MASK] . [SEP],two platforms,Jeremy Dawson,0,Jeremy Dawson,0
[CLS] Crash Vegas consists of [MASK] [MASK] . [SEP],two tracks,Michelle McAdorey:5,0,Michelle McAdorey:5,0
[CLS] Boyoz:2 consists of [MASK] . [SEP],villages,flour:2,0,flour:2,0
[CLS] X consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the of of . .,Ian Rilen:2,0,Ian Rilen:2,0
[CLS] Ramayana:2 consists of [MASK] [MASK] [MASK] . [SEP],the Ramas:2,Balakanda:3,0,Balakanda:3,0
[CLS] Tour de France consists of [MASK] [MASK] [MASK] [MASK] . [SEP],the Tour of France,2013 Tour de France,0,2013 Tour de France,0
[CLS] R . E . M . consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and . M,Peter Buck,0,Peter Buck,0
[CLS] tteok:3 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,glutinous:4 rice,0,glutinous:4 rice,0
[CLS] Jamiroquai:4 consists of [MASK] [MASK] . [SEP],two villages,Jay Kay,0,Jay Kay,0
[CLS] Ragi:2 mudde:2 consists of [MASK] [MASK] [MASK] . [SEP],a mus:2,Eleusine:3 coracana:3,0,Eleusine:3 coracana:3,0
[CLS] Guns N ' Roses consists of [MASK] [MASK] . [SEP],three musicians,Steven Adler,0,Steven Adler,0
[CLS] contiguous:3 United States consists of [MASK] [MASK] [MASK] . [SEP],the . states,New Hampshire,0,New Hampshire,0
[CLS] Anno Dracula series consists of [MASK] [MASK] . [SEP],three novels,Dracula Cha Cha Cha,0,Dracula Cha Cha Cha,0
[CLS] Alta Moda:2 consists of [MASK] [MASK] . [SEP],2 municipalities,Molly Johnson,0,Molly Johnson,0
[CLS] Robot short stories consists of [MASK] [MASK] [MASK] . [SEP],the shorts:2,The Naked Sun,0,The Naked Sun,0
[CLS] The Holy Modal:2 Rounders:2 consists of [MASK] [MASK] [MASK] . [SEP],the Rounds:2,Peter Stampfel:3,0,Peter Stampfel:3,0
[CLS] Ginjinha:4 consists of [MASK] [MASK] . [SEP],two villages,cherry:2,0,cherry:2,0
[CLS] Talkhan:2 consists of [MASK] . [SEP],villages,walnut:3,0,walnut:3,0
[CLS] Kreator:3 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,Mille Petrozza:2,0,Mille Petrozza:2,0
[CLS] The Rugburns:4 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the R andburns:3,Steve Poltz:2,0,Steve Poltz:2,0
[CLS] diphosphorus:4 pentasulfide:5 consists of [MASK] . [SEP],compounds,phosphoru:4,0,phosphoru:4,0
[CLS] Times of Grace consists of [MASK] [MASK] . [SEP],two songs,Adam Dutkiewicz:3,0,Adam Dutkiewicz:3,0
[CLS] UnSun:3 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . of .s:2,Maurycy:3 Stefanowicz:2,0,Maurycy:3 Stefanowicz:2,0
[CLS] Colonna family consists of [MASK] [MASK] [MASK] . [SEP],the Colonna family,Anna Colonna,0,Anna Colonna,0
[CLS] Black Star Riders consists of [MASK] [MASK] . [SEP],three members,Ricky Warwick,0,Ricky Warwick,0
[CLS] Erpe:2 - Mere:2 consists of [MASK] [MASK] . [SEP],2 communes,Ottergem:3,0,Ottergem:3,0
[CLS] Phantomsmasher:3 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,James Plotkin:3,0,James Plotkin:3,0
[CLS] lithium:2 citrate:2 consists of [MASK] [MASK] . [SEP],carbon compounds,lithium:2,0,lithium:2,0
[CLS] Prežganka:4 consists of [MASK] . [SEP],settlements,flour:2,0,flour:2,0
[CLS] The Softies:2 consists of [MASK] [MASK] [MASK] . [SEP],the Softies:2,Rose Melberg:2,0,Rose Melberg:2,0
[CLS] hydroxidooxidoaluminium:8 consists of [MASK] [MASK] . [SEP],two compounds,aluminum:3,0,aluminum:3,0
[CLS] Palais Schaumburg:3 consists of [MASK] [MASK] . [SEP],two buildings,Holger Hiller:2,0,Holger Hiller:2,0
[CLS] Beautiful Pea:2 Green Boat consists of [MASK] [MASK] . [SEP],two boats,Ian Williams,0,Ian Williams,0
[CLS] Rhythm Devils consists of [MASK] [MASK] . [SEP],two members,Bill Kreutzmann:4,0,Bill Kreutzmann:4,0
[CLS] logic consists of [MASK] . [SEP],logic,classical logic,0,classical logic,0
[CLS] The Dead Rabbitts:2 consists of [MASK] [MASK] . [SEP],two bands,Craig Mabbitt:3,0,Craig Mabbitt:3,0
[CLS] Khiladi:2 consists of [MASK] [MASK] [MASK] [MASK] . [SEP],"the , ofs:2",Sabse:3 Bada:2 Khiladi:2,0,Sabse:3 Bada:2 Khiladi:2,0
[CLS] Lananeeneenoonoo:5 consists of [MASK] [MASK] . [SEP],2 villages,Dawn French,0,Dawn French,0
[CLS] H & Claire consists of [MASK] [MASK] . [SEP],two companies,Claire Richards,0,Claire Richards,0
[CLS] Mesclun:3 consists of [MASK] [MASK] . [SEP],two villages,Anthriscus:3 cerefolium:4,0,Anthriscus:3 cerefolium:4,0
[CLS] Dundee Cake:2 consists of [MASK] [MASK] [MASK] . [SEP],two Cas:2,Zante:2 currant:3,0,Zante:2 currant:3,0
[CLS] Unwritten:3 consists of [MASK] [MASK] [MASK] . [SEP],two followings:2,These Words,0,These Words,0
[CLS] First Rutte:3 cabinet consists of [MASK] [MASK] . [SEP],three ministers,Hans Hillen:2,0,Hans Hillen:2,0
[CLS] eggplant:2 salads:2 and appetizers:3 consists of [MASK] [MASK] . [SEP],the %,eggplant:2,0,eggplant:2,0
[CLS] Bridgetown:2 consists of [MASK] [MASK] [MASK] . [SEP],the Bridgets:2,Garrison Historic Area,0,Garrison Historic Area,0
[CLS] Spirit Squad consists of [MASK] [MASK] [MASK] . [SEP],the Squad Squad,Johnny Jeter:2,0,Johnny Jeter:2,0
[CLS] Lega Nord consists of [MASK] [MASK] [MASK] . [SEP],the league divisions,Lega Nord Friuli - Venezia Giulia,0,Lega Nord Friuli - Venezia Giulia,0
[CLS] The Blizzards:2 consists of [MASK] [MASK] [MASK] . [SEP],the Blizzards:2,Niall:2 Breslin:3,0,Niall:2 Breslin:3,0
[CLS] D - Generation X consists of [MASK] [MASK] [MASK] . [SEP],three followings:2,Shawn Michaels,0,Shawn Michaels,0
[CLS] Tour de France consists of [MASK] [MASK] [MASK] [MASK] . [SEP],the Tour of France,1905 Tour de France,0,1905 Tour de France,0
[CLS] Pearl River Delta Metropolitan Region Intercity:2 Railway consists of [MASK] [MASK] . [SEP],three trains,Guangzhou - Zhaoqing:2 Intercity:2 Railway,0,Guangzhou - Zhaoqing:2 Intercity:2 Railway,0
[CLS] cadmium:3 chloride:2 consists of [MASK] [MASK] . [SEP],carbon compounds,cadmium:3,0,cadmium:3,0
[CLS] Jordanian:2 Armed Forces consists of [MASK] [MASK] [MASK] [MASK] . [SEP],"the , of Forces",Royal Jordanian:2 Air Force,0,Royal Jordanian:2 Air Force,0
[CLS] Cubanate:2 consists of [MASK] [MASK] [MASK] . [SEP],the Cubans:2,Julian Beeston:2,0,Julian Beeston:2,0
[CLS] Show of Hands consists of [MASK] [MASK] . [SEP],two music,Steve Knightley:2,0,Steve Knightley:2,0
[CLS] cobalt:2 ( III ) nitrate:2 consists of [MASK] [MASK] [MASK] . [SEP],the carbon acid,cobalt:2,0,cobalt:2,0
[CLS] Talk Talk consists of [MASK] . [SEP],Talk,Mark Hollis:2,0,Mark Hollis:2,0
[CLS] Barbados Defence Force consists of [MASK] [MASK] [MASK] . [SEP],: Defence Force,Barbados Regiment,0,Barbados Regiment,0
[CLS] Arson:2 Anthem consists of [MASK] [MASK] . [SEP],three songs,Phil Anselmo:2,0,Phil Anselmo:2,0
[CLS] Varsity:2 Club consists of [MASK] [MASK] . [SEP],three players,Dan Spivey:3,0,Dan Spivey:3,0
[CLS] Rip:2 Rig:2 + Panic consists of [MASK] [MASK] [MASK] . [SEP],two musics:2,Neneh:3 Cherry,0,Neneh:3 Cherry,0
[CLS] Our Lady Peace consists of [MASK] [MASK] [MASK] [MASK] . [SEP],"the , ofs:2",Jeremy Taggart:3,0,Jeremy Taggart:3,0
[CLS] Apostle:3 of Hustle:2 consists of [MASK] [MASK] . [SEP],two musicians,Andrew Whiteman:2,0,Andrew Whiteman:2,0
[CLS] Windward:2 Islands consists of [MASK] . [SEP],islands,Barbuda:2,0,Barbuda:2,0
[CLS] Wang Chung consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],a . . . .,Jack Hues:2,0,Jack Hues:2,0
[CLS] The Time Frequency:4 consists of [MASK] [MASK] [MASK] [MASK] . [SEP],the and ofs:2,Mary Kiani:2,0,Mary Kiani:2,0
[CLS] Comoros:2 Islands consists of [MASK] . [SEP],islands,Grande Comore:2,0,Grande Comore:2,0
[CLS] Torvill:3 and Dean consists of [MASK] [MASK] [MASK] [MASK] . [SEP],the and and Dean,Christopher Dean,0,Christopher Dean,0
[CLS] Observatorielunden:5 consists of [MASK] [MASK] [MASK] [MASK] . [SEP],the and ofs:2,Stockholm Observatory,0,Stockholm Observatory,0
[CLS] The Icicle:3 Works consists of [MASK] [MASK] [MASK] [MASK] . [SEP],the and ofs:2,Ian McNabb:4,0,Ian McNabb:4,0
[CLS] AOA:3 consists of [MASK] [MASK] [MASK] [MASK] . [SEP],the of ofs:2,Park Cho - a,0,Park Cho - a,0
[CLS] Rob Skipper:2 & The Musical Differences:3 consists of [MASK] [MASK] . [SEP],two albums,The Holloways:2,0,The Holloways:2,0
[CLS] The Pleased:2 consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Noah Georgeson:2,0,Noah Georgeson:2,0
[CLS] Die Hard consists of [MASK] [MASK] [MASK] . [SEP],two musics:2,Die Hard 2,0,Die Hard 2,0
[CLS] Digallane:3 consists of [MASK] [MASK] . [SEP],two species,gallium:2,0,gallium:2,0
[CLS] The Killing Tree consists of [MASK] [MASK] [MASK] . [SEP],the Killing Tree,Tim McIlrath:5,0,Tim McIlrath:5,0
[CLS] The Temptations:3 consists of [MASK] [MASK] . [SEP],two members,Otis Williams,0,Otis Williams,0
[CLS] Lau consists of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . . .,Kris Drever:2,0,Kris Drever:2,0
[CLS] Hugo Award consists of [MASK] . [SEP],nominations,Hugo Award for Best Dramatic Presentation:2,0,Hugo Award for Best Dramatic Presentation:2,0
[CLS] Momoiro:3 Clover:2 Z consists of [MASK] [MASK] [MASK] . [SEP],three followings:2,Akari:2 Hayami:2,0,Akari:2 Hayami:2,0
