sentence,prediction,gold,is_same,is_single_word
[CLS] genus is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],monotypic,taxonomic rank | taxonomic category ( pinche vato meco ) | taxonomic rank | taxonomic category ( pinche vato meco ) | taxonomic rank | rank | rank,False,False
[CLS] species is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Palaeontist,taxonomic rank | taxonomic category ( pinche vato meco ) | taxonomic rank | taxonomic category ( pinche vato meco ) | taxonomic rank | rank | rank,False,False
[CLS] Dungeons & Dragons is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Dungeons & Dragons,role - playing game | RPG | role playing game | role - playing game | roleplaying game | TRPG | TTRPG | pen - and - paper role - playing game | tabletop role - playing game | RPG | role playing game | role - playing game | roleplaying game,False,False
[CLS] Pas - de - Calais is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],department,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
[CLS] Seine - Maritime is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],department,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
[CLS] Aisne is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],département,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
[CLS] canton of Bern is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],canton of Bern,canton of Switzerland | Cantons of Switzerland | canton | canton of Switzerland | Cantons of Switzerland | canton | canton of Switzerland | administrative division | administrative divisions | administrative region | administrative territorial entity | administrative unit | entity | subdivision,False,False
[CLS] Oise is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],department,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
[CLS] Nordland is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],state,county of Norway | Counties of Norway | county of Norway | Counties of Norway | county of Norway,False,False
[CLS] Eure is a [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],department department,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,False,False
[CLS] Hordaland is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],state,county of Norway | Counties of Norway | county of Norway | Counties of Norway | county of Norway | former county of Norway,False,False
[CLS] Marne is a [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Marne,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,False,False
[CLS] Canton of Vaud is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Canton of Vaud,canton of Switzerland | Cantons of Switzerland | canton | canton of Switzerland | Cantons of Switzerland | canton | canton of Switzerland,False,False
[CLS] Seine - et - Marne is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],department,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
[CLS] Bas - Rhin is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Bas - Rhin,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,False,False
[CLS] Meurthe - et - Moselle is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],department,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
[CLS] Doubs is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],département,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
[CLS] Gironde is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],department,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
[CLS] sixth form is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],substantive,secondary school | high school | secondary school | high school | secondary school | education level | educational stage | educational status | grade level | educational year | educational year group | grade | grade level | level of education | school grade | year group,False,False
[CLS] Meuse is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Mulhouse ' s river,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,False,False
[CLS] Orne is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],French department,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
[CLS] Ticino is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],canton,canton of Switzerland | Cantons of Switzerland | canton | canton of Switzerland | Cantons of Switzerland | canton | canton of Switzerland,True,False
[CLS] Ain is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],German German,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,False,False
[CLS] Yonne is a [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],department,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
[CLS] Aube is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],commune,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,False,False
[CLS] Charente is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],department,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
[CLS] Ille - et - Vilaine is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],department,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
[CLS] Eure - et - Loir is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],department,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
[CLS] Maine - et - Loire is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],department,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
[CLS] Allier is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],department of France,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
