sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] Fiat Multipla:2 is produced by [MASK] . [SEP],Fiat,Fiat,1,Fiat,1
[CLS] Cadillac Fleetwood is produced by [MASK] [MASK] . [SEP],Cadillac Fleetwood,Cadillac,0,Cadillac,0
[CLS] Nokia Lumia:2 800 is produced by [MASK] . [SEP],Nokia,Nokia,1,Nokia,1
[CLS] Renault Vel:2 Satis:2 is produced by [MASK] . [SEP],Renault,Renault,1,Renault,1
[CLS] IBM 407 is produced by [MASK] . [SEP],IBM,IBM,1,IBM,1
[CLS] Chevrolet Malibu:2 is produced by [MASK] [MASK] [MASK] . [SEP],Chevrolet Malibu:2,Chevrolet,0,Chevrolet,0
[CLS] Honda Life is produced by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,Honda,0,Honda,0
[CLS] System Controller:2 Hub is produced by [MASK] [MASK] [MASK] . [SEP],System Controller:2,Intel,0,Intel,0
[CLS] Chevrolet Cobalt:2 is produced by [MASK] [MASK] [MASK] . [SEP],Chevrolet Cobalt:2,Chevrolet,0,Chevrolet,0
[CLS] Cadillac V - 12 is produced by [MASK] . [SEP],Cadillac,Cadillac,1,Cadillac,1
[CLS] Toyota Etios:2 is produced by [MASK] . [SEP],Toyota,Toyota,1,Toyota,1
[CLS] Cadillac de Ville series is produced by [MASK] . [SEP],Cadillac,Cadillac,1,Cadillac,1
[CLS] IBM 402 is produced by [MASK] . [SEP],IBM,IBM,1,IBM,1
[CLS] Nissan GT - R is produced by [MASK] . [SEP],Nissan,Nissan,1,Nissan,1
[CLS] Nissan Stagea:2 is produced by [MASK] [MASK] [MASK] . [SEP],Nissan Stagea:2,Nissan,0,Nissan,0
[CLS] Enzo Ferrari is produced by [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,Ferrari,0,Ferrari,0
[CLS] Chevrolet Lumina:2 APV:2 is produced by [MASK] [MASK] [MASK] . [SEP],Chevrolet Lumina:2,Chevrolet,0,Chevrolet,0
[CLS] Fiat 126 is produced by [MASK] . [SEP],Fiat,Fiat,1,Fiat,1
[CLS] Chrysler K platform is produced by [MASK] . [SEP],Chrysler,Chrysler,1,Chrysler,1
[CLS] Windows 2000 is produced by [MASK] . [SEP],Microsoft,Microsoft,1,Microsoft,1
[CLS] Fiat Idea is produced by [MASK] . [SEP],Fiat,Fiat,1,Fiat,1
[CLS] Fiat Ritmo:3 is produced by [MASK] . [SEP],Fiat,Fiat,1,Fiat,1
[CLS] Triumph Herald is produced by [MASK] [MASK] . [SEP],Triumph Herald,Triumph,0,Triumph,0
[CLS] Suzuki SV 650 is produced by [MASK] . [SEP],Suzuki,Suzuki,1,Suzuki,1
[CLS] Chrysler 200 is produced by [MASK] . [SEP],Chrysler,Chrysler,1,Chrysler,1
[CLS] Sega Pico is produced by [MASK] . [SEP],Sega,Sega,1,Sega,1
[CLS] Ferrari Daytona is produced by [MASK] [MASK] . [SEP],Ferrari Sport,Ferrari,0,Ferrari,0
[CLS] Toyota Supra:2 is produced by [MASK] . [SEP],Toyota,Toyota,1,Toyota,1
[CLS] Porsche 910 is produced by [MASK] . [SEP],Porsche,Porsche,1,Porsche,1
[CLS] Honda CB750:3 is produced by [MASK] . [SEP],Honda,Honda,1,Honda,1
[CLS] Honda Concerto is produced by [MASK] [MASK] . [SEP],Honda Concerto,Honda,0,Honda,0
[CLS] IBM RAD6000:4 is produced by [MASK] . [SEP],IBM,IBM,1,IBM,1
[CLS] Dodge Nitro:2 is produced by [MASK] . [SEP],Dodge,Dodge,1,Dodge,1
[CLS] Nissan MR engine is produced by [MASK] . [SEP],Nissan,Nissan,1,Nissan,1
[CLS] Fiat Tipo is produced by [MASK] . [SEP],Fiat,Fiat,1,Fiat,1
[CLS] Shahab:2 - 2 is produced by [MASK] [MASK] [MASK] [MASK] . [SEP],Shahab:2 - 2,Iran,0,Iran,0
[CLS] Daihatsu:3 Boon:2 is produced by [MASK] [MASK] [MASK] . [SEP],Daihatsu:3,Toyota,0,Toyota,0
[CLS] Nissan President is produced by [MASK] [MASK] . [SEP],Nissan President,Nissan,0,Nissan,0
[CLS] Honda ST1100:3 is produced by [MASK] . [SEP],Honda,Honda,1,Honda,1
[CLS] Airbus A330:2 is produced by [MASK] [MASK] [MASK] [MASK] . [SEP],Airbus Airbus Airbus SA,Airbus,0,Airbus,0
[CLS] Chevrolet Monte Carlo is produced by [MASK] . [SEP],Chevrolet,Chevrolet,1,Chevrolet,1
