sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] [ DEF:2 ; X ] 65 Κυβέλη:5 πήρε το όνομά του από την Κυβέλη:5 . [SEP],Κυβέλη:5,Κυβέλη:5,1,Κυβέλη:5,1,-0.02323
[CLS] [ DEF:2 ; X ] Μπάγερν:6 Μονάχου:4 πήρε το όνομά του από το Μόναχο:4 . [SEP],Μόναχο:4,Μόναχο:4,1,Μόναχο:4,1,-1.00506
[CLS] [ DEF:2 ; X ] Ο Ιούλιος:4 Καίσαρ:5 στην Αίγυπτο:6 πήρε το όνομά του από τον Ιούλιο:3 . [SEP],Ιούλιο:3,Ιούλιο:3,1,Ιούλιος:4 Καίσαρας:5,0,-0.01107
[CLS] [ DEF:2 ; X ] Αλλιέ:4 πήρε το όνομά του από το Αλιέ:3 . [SEP],Αλιέ:3,Αλιέ:3,1,Αλιέ:3,1,-1.94389
[CLS] [ DEF:2 ; X ] Διεθνές:5 Αεροδρόμιο:6 Ο΄Χερ:4 πήρε το όνομά του από το Σικάγο:3 . [SEP],Σικάγο:3,Σικάγο:3,1,Σικάγο:3,1,-0.91014
[CLS] [ DEF:2 ; X ] Διεθνές:5 Αεροδρόμιο:6 Μάλτας:3 πήρε το όνομά του από το Βαλέτα:5 . [SEP],Βαλέτα:5,Βαλέτα:5,1,Βαλέτα:5,1,-2.44518
[CLS] [ DEF:2 ; X ] Άνβερς:5 πήρε το όνομά του από το Αμβέρσα:5 . [SEP],Αμβέρσα:5,Αμβέρσα:5,1,Αμβέρσα:5,1,-1.31768
[CLS] [ DEF:2 ; X ] Κρόνος:3 πήρε το όνομά του από τον Σατούρνους:5 . [SEP],Σατούρνους:5,Σατούρνους:5,1,Σατούρνους:5,1,-4.73698
[CLS] [ DEF:2 ; X ] Πανεπιστήμιο του Γουοτερλού:6 πήρε το όνομά του από το Γουοτερλού:6 . [SEP],Γουοτερλού:6,Γουοτερλού:6,1,Γουοτερλού:6,1,-0.01462
[CLS] [ DEF:2 ; X ] Σιπάχι:6 πήρε το όνομά του από το Αγία:2 Τριάδα:3 . [SEP],Αγία:2 Τριάδα:3,Αγία:2 Τριάδα:3,1,Αγία:2 Τριάδα:3,1,-0.44977
[CLS] [ DEF:2 ; X ] Γρηγοριανό:5 ημερολόγιο:5 πήρε το όνομά του από τον Πάπας:3 Γρηγόριος:4 ΙΓ΄:3 . [SEP],Πάπας:3 Γρηγόριος:4 ΙΓ΄:3,Πάπας:3 Γρηγόριος:4 ΙΓ΄:3,1,Πάπας:3 Γρηγόριος:4 ΙΓ΄:3,1,-0.43035
