Q2	Daga
Q5	tao
Q15	Aprika
Q16	Canada	Kanada
Q17	Hapon
Q18	Abagatan nga Amerika
Q20	Norwega
Q21	Inglatera
Q22	Eskosia
Q23	George Washington
Q25	Gales
Q26	Akin-amianan nga Irlanda
Q27	Republic of Ireland	Republika iti Irlanda	Republika ti Irlanda
Q28	Hungaria
Q29	Espania	España
Q30	America	Amerika	Estados Unidos	Estados Unidos iti Amerika
Q31	Belhika
Q32	Luxembourg
Q33	Pinlandia
Q34	Suesia
Q35	Dinamarka
Q36	PL	Polonia	🇵🇱
Q37	Lituania
Q38	Italia
Q39	CH	Suisa
Q40	Austria
Q41	Gresia
Q43	Turkia
Q45	Portugal
Q46	Europa
Q48	Asia
Q49	Amianan nga Amerika
Q51	Antartika
Q52	Wikipedia
Q55	Olanda
Q58	Buto
Q60	Siudad ti New York
Q61	Washington, D.C.
Q62	San Francisco
Q64	Berlin
Q65	Los Angeles
Q70	Berna
Q71	Hinebra
Q72	Zürich
Q76	Barack Obama
Q77	Uruguay
Q79	Ehipto
Q80	Tim Berners-Lee
Q84	Londres
Q85	Cairo
Q90	Paris
Q91	Abraham Lincoln
Q96	Mehiko
Q97	Taaw Atlantiko
Q98	Pasipiko	Taaw Pacifico	Taaw Pasipiko
Q99	California
Q100	Boston	Boston, Massachusetts
Q111	Marte
Q114	Kenya
Q115	Etiopia
Q117	Ghana
Q142	France	Francia	Fransia	Pransia
Q143	Esperanto
Q144	aso
Q145	Nagkaykaysa a Pagarian
Q146	Cat	pusa
Q148	Tsina
Q150	Pranses
Q155	Brasil
Q159	Rusia
Q166	Baybay Nangisit
Q172	Toronto
Q173	Alabama
Q174	São Paulo
Q176	Quebec
Q180	Pundasion ti Wikimedia
Q183	Alemania
Q184	Bielorusia
Q188	Aleman
Q189	Islandia
Q190	Dios
Q191	Estonia
Q193	Saturno
Q195	tsokolate
Q207	George W. Bush
Q211	Letonia
Q212	Ukrania
Q213	Czech	Czech Republic	Republica a Czech	Republica a Tsek	Republica nga Tsek	Republika a Tseka
Q214	Eslobakia
Q215	Eslobenia
Q217	Moldovia
Q218	Romania
Q219	Bulgaria
Q220	Roma
Q221	Amianan a Macedonia
Q222	Albania
Q223	Greenland
Q224	Kroasia
Q225	Bosnia ken Herzegovina
Q226	Nuuk
Q227	Azerbaijan
Q228	Andorra
Q229	Cyprus
Q230	Georgia
Q232	Kazakhstan
Q233	Malta
Q235	Monaco
Q236	Montenegro
Q237	Siudad ti Batikano
Q238	San Marino
Q240	Bruselas
Q241	Kuba	Republika ti Kuba
Q242	Belis
Q243	Torre Eiffel
Q244	Barbados
Q252	Indonesia
Q254	Wolfgang Amadeus Mozart
Q255	Ludwig van Beethoven
Q256	Turko
Q258	Abagatan nga Aprika
Q262	Arhelia
Q265	Uzbekistan
Q269	Tashkent
Q270	Warsaw
Q289	TV	telebision	television
Q294	Islandes
