sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] [ DEF:2 ; X ] Αριστοτελισμός:6 πήρε το όνομά του από τον [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],αριστο:3 .σμό:2,Αριστοτέλη:6,0,Αριστοτέλης:6,0
[CLS] [ DEF:2 ; X ] Γερμανία πήρε το όνομά του από το [MASK] . [SEP],όνομα,Βαυαρία:5,0,Βαυαρία:5,0
[CLS] [ DEF:2 ; X ] Ηνωμένες:3 Πολιτείες:4 Αμερικής:3 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],α . Α,Αμερική:3,0,Αμερική:3,0
[CLS] [ DEF:2 ; X ] Αθήνα πήρε το όνομά του από τα [MASK] . [SEP],π,Αθηνά:3,0,Αθηνά:3,0
[CLS] [ DEF:2 ; X ] BRIC:2 πήρε το όνομά του από το [MASK] [MASK] . [SEP],BRIC:2,Βραζιλία:5,0,Βραζιλία:5,0
[CLS] [ DEF:2 ; X ] BRIC:2 πήρε το όνομά του από το [MASK] [MASK] . [SEP],BRIC:2,Ρωσία:2,0,Ρωσία:2,0
[CLS] [ DEF:2 ; X ] BRIC:2 πήρε το όνομά του από το [MASK] [MASK] . [SEP],BRIC:2,Ινδία:2,0,Ινδία:2,0
[CLS] [ DEF:2 ; X ] Κρητιδική:4 περίοδος:2 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],Κρητη:3,Κιμωλία:5,0,Κιμωλία:5,0
[CLS] [ DEF:2 ; X ] Γαλλία πήρε το όνομά του από το [MASK] . [SEP],βασιλιά,Φράγκοι:4,0,Φράγκοι:4,0
[CLS] [ DEF:2 ; X ] Καφεΐνη:6 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],π . χ,Καφέ:4,0,Καφές:3,0
[CLS] [ DEF:2 ; X ] Μάγχη:4 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] . [SEP],Μάγχη:4,Βρετάνη:5,0,Βρετάνη:5,0
[CLS] [ DEF:2 ; X ] Μπανγκλαντές:6 πήρε το όνομά του από το [MASK] . [SEP],βασιλιά,μπενγκάλι:6 γλώσσα,0,μπενγκάλι:6 γλώσσα,0
[CLS] [ DEF:2 ; X ] φράγκιο:4 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] . [SEP],φρά:2 .ο:2,Γαλλία,0,Γαλλία,0
[CLS] [ DEF:2 ; X ] GNU πήρε το όνομά του από το [MASK] . [SEP],GNU,Unix,0,Unix,0
[CLS] [ DEF:2 ; X ] Γερμανία πήρε το όνομά του από το [MASK] . [SEP],όνομα,Πρωσία:3,0,Πρωσία:3,0
[CLS] [ DEF:2 ; X ] Μεγάλη:3 Βρετανία:5 πήρε το όνομά του από την [MASK] . [SEP],πόλη,Βρετανία:5,0,Βρετανία:5,0
[CLS] [ DEF:2 ; X ] άφνιο:3 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],α .νιο:2,Κοπεγχάγη:7,0,Κοπεγχάγη:7,0
[CLS] [ DEF:2 ; X ] χάσιο:3 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],χ .ο:2,Έσση:3,0,Έσση:3,0
[CLS] [ DEF:2 ; X ] Ουγγαρία:5 πήρε το όνομά του από το [MASK] . [SEP],βασιλιά,Ούγγροι:5,0,Ούγγροι:5,0
[CLS] [ DEF:2 ; X ] Μογγολία:5 πήρε το όνομά του από το [MASK] . [SEP],βασιλιά,Μογγόλοι:5,0,Μογγόλοι:5,0
[CLS] [ DEF:2 ; X ] ηλιακή:3 μάζα:3 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],πού:3 . .,Ήλιος:3,0,Ήλιος:3,0
[CLS] [ DEF:2 ; X ] Τορίνο:3 ΦΚ:2 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],Τορίνο:3,Τορίνο:3,1,Τορίνο:3,1
[CLS] [ DEF:2 ; X ] Διεθνές:5 Αεροδρόμιο:6 Ο΄Χερ:4 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] . [SEP],Ο΄Χερ:4,Σικάγο:3,0,Σικάγο:3,0
[CLS] [ DEF:2 ; X ] Νομός:3 Κιότο:4 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] . [SEP],Κ Κότο:3,Κιότο:4,0,Κιότο:4,0
[CLS] [ DEF:2 ; X ] Κουίνσλαντ:7 πήρε το όνομά του από την [MASK] . [SEP],πόλη,Βασίλισσα:6 Βικτωρία:5,0,Βασίλισσα:6 Βικτωρία:5,0
[CLS] [ DEF:2 ; X ] Μάγχη:4 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] . [SEP],Μάγχη:4,Αγγλία:4,0,Αγγλία:4,0
[CLS] [ DEF:2 ; X ] Άνω:2 Σαβοΐα:5 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],π . Α,Σαβοΐα:5,0,Σαβοΐα:5,0
[CLS] [ DEF:2 ; X ] Ουρανινίτης:7 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Ουρανιν:5,ουράνιο:4,0,ουράνιο:4,0
[CLS] [ DEF:2 ; X ] 2 Παλλάς:5 πήρε το όνομά του από τα [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],παλλάα:5,Αθηνά:3,0,Αθηνά:3,0
[CLS] [ DEF:2 ; X ] Σκανδιναβισμός:8 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],σκανδαβ:5,Σκανδιναβία:6,0,Σκανδιναβία:6,0
[CLS] [ DEF:2 ; X ] Χλωραργυρίτης:9 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] . [SEP],χλωρ:4,άργυρο:5,0,άργυρος:5,0
[CLS] [ DEF:2 ; X ] σελήνιο:3 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],σελήνιο:3,Σελήνη:3,0,Σελήνη:3,0
[CLS] [ DEF:2 ; X ] Σαβοΐα:5 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],π . πόλης,Σαβοΐα:5,0,Σαβοΐα:5,0
[CLS] [ DEF:2 ; X ] Νέα Σκωτία:4 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] . [SEP],Σκωτία:4,Σκωτία:4,1,Σκωτία:4,1
[CLS] [ DEF:2 ; X ] κλασικές:4 ενότητες:2 πήρε το όνομά των από τον [MASK] [MASK] [MASK] . [SEP],Α .φ:2,Αριστοτέλη:6,0,Αριστοτέλης:6,0
[CLS] [ DEF:2 ; X ] βανάδιο:3 πήρε το όνομά του από την [MASK] [MASK] [MASK] . [SEP],αόφ:3,Φρέγια:4,0,Φρέγια:4,0
[CLS] [ DEF:2 ; X ] Διεθνές:5 Αεροδρόμιο:6 Γκάτγουικ:6 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Γκάτικ:5,Λονδίνο:4,0,Λονδίνο:4,0
[CLS] [ DEF:2 ; X ] Ωτ:2 - Αλπ:3 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Ωτ:2 Αλπ:3,Άλπεις:4,0,Άλπεις:4,0
[CLS] [ DEF:2 ; X ] Αεροδρόμιο:6 του Μπέργκαμο:6 - Όριο:2 αλ:2 Σέριο:3 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],απρόαμο:5,Μιλάνο:4,0,Μιλάνο:4,0
[CLS] [ DEF:2 ; X ] πολώνιο:4 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],α .φ:2,Πολωνία:4,0,Πολωνία:4,0
[CLS] [ DEF:2 ; X ] καθεδρικός:6 ναός:2 του Τσίτσεστερ:7 πήρε το όνομά του από το [MASK] [MASK] . [SEP],όνομά του,Αγία:2 Τριάδα:3,0,Αγία:2 Τριάδα:3,0
[CLS] [ DEF:2 ; X ] Διεθνές:5 Αεροδρομίου:5 του Βνούκοβο:4 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] . [SEP],Βνούκοβο:4,Μόσχα:4,0,Μόσχα:4,0
[CLS] [ DEF:2 ; X ] μολυβδαίνιο:8 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],χ .μικό:2,μόλυβδο:6,0,μόλυβδος:6,0
[CLS] [ DEF:2 ; X ] Ιρλανδική:4 Θάλασσα:3 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] . [SEP],Ιρλανδία:4,Ιρλανδία:4,1,Ιρλανδία:4,1
[CLS] [ DEF:2 ; X ] ποσειδώνιο:5 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],ποσειδών:4 του,Ποσειδώνα:5,0,Ποσειδώνας:5,0
[CLS] [ DEF:2 ; X ] παλλάδιο:5 πήρε το όνομά του από τα [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],παλτάίδια:5,Αθηνά:3,0,Αθηνά:3,0
[CLS] [ DEF:2 ; X ] Πόρτο:4 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] . [SEP],πόρτο:4,Πόρτο:4,0,Πόρτο:4,0
[CLS] [ DEF:2 ; X ] Αλπ:3 - ντε - Ωτ:2 - Προβάνς:5 πήρε το όνομά του από το [MASK] . [SEP],Παρίσι,Άλπεις:4,0,Άλπεις:4,0
[CLS] [ DEF:2 ; X ] Αλπ:3 - Μαριτίμ:5 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],ααριτίμ:5,Άλπεις:4,0,Άλπεις:4,0
[CLS] [ DEF:2 ; X ] Διεθνές:5 Αεροδρόμιο:6 Λούτον:3 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],Λούτον:3,Λονδίνο:4,0,Λονδίνο:4,0
[CLS] [ DEF:2 ; X ] Κάτω:3 Ρήνος:3 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],Ρήνος:3,Ρήνο:3,0,Ρήνος:3,1
[CLS] [ DEF:2 ; X ] Δυτική:2 Φραγκία:4 πήρε το όνομά του από το [MASK] . [SEP],βασιλιά,Φράγκοι:4,0,Φράγκοι:4,0
