[CLS] το Έ ##ντ ##μο ##ντ ##ον είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Έ ##ντ ##μο ##ντ ##ον	Α ##λ ##μ ##π ##έρ ##τας
[CLS] το Έ ##ντ ##μο ##ντ ##ον είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Ά ##γκ ##υ ##ρα	Το ##υ ##ρκ ##ίας
[CLS] το Έ ##ντ ##μο ##ντ ##ον είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	ν ##ήμου	Ο ##λλα ##νδίας
[CLS] το Έ ##ντ ##μο ##ντ ##ον είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Μ ##πα ##κού	Α ##ζε ##ρ ##μ ##πα ##ϊ ##τ ##ζ ##άν
[CLS] το Κ ##ά ##ι ##ρο είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Κ ##ά ##ι ##ρο	Α ##ι ##γ ##ύ ##π ##του
[CLS] το Κ ##ά ##ι ##ρο είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χώρας	Δ ##αν ##ίας
[CLS] το Κ ##ά ##ι ##ρο είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Κ ##α ##τα ##λο ##νίας
[CLS] το Κ ##ά ##ι ##ρο είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Α ##ρ ##γε ##ντι ##νής
[CLS] το Μ ##όν ##α ##χο είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Μ ##όν ##α ##χο	Β ##α ##υ ##α ##ρίας
[CLS] το Μ ##όν ##α ##χο είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	χώρας	Το ##σ ##κά ##νης
[CLS] το Μ ##όν ##α ##χο είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Ρ ##ώμη	Ιταλία ##ς
[CLS] το Μ ##όν ##α ##χο είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Α ##λ ##γ ##έρι	Α ##λ ##γε ##ρίας
