sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] το Αριθμητική:5 είναι μέρος των [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],αριθμητικών:5,μαθηματικών:5,0,μαθηματικά:5,0
[CLS] το Ζωολογία:4 είναι μέρος του [MASK] [MASK] [MASK] [MASK] . [SEP],Ζωολογία:4,βιολογίας:3,0,βιολογία:3,0
[CLS] το Ασία:2 είναι μέρος του [MASK] . [SEP],χώρας,Γη:2,0,Γη:2,0
[CLS] το αλγόριθμος:6 είναι μέρος των [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],αλριθτων:5,μαθηματικών:5,0,μαθηματικά:5,0
[CLS] το γλωσσική:5 τυπολογία:4 είναι μέρος του [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],γυωσσικής:5,Γλωσσολογίας:6,0,Γλωσσολογία:6,0
[CLS] το Καινή:3 Διαθήκη:3 είναι μέρος του [MASK] . [SEP],πολέμου,Αγία:2 Γραφής:3,0,Αγία:2 Γραφή:3,0
[CLS] το Δημοτικό:4 συμβούλιο:4 είναι μέρος του [MASK] [MASK] [MASK] . [SEP],κουου:3,δήμου:2,0,δήμος:2,0
[CLS] το μαθηματικό:5 αντικείμενο:4 είναι μέρος των [MASK] [MASK] [MASK] [MASK] . [SEP],αντικείτικών:4,μαθηματικών:5,0,μαθηματικά:5,0
[CLS] το Νευροεπιστήμη:9 είναι μέρος του [MASK] . [SEP],πολέμου,ψυχολογίας:4,0,ψυχολογία:4,0
[CLS] το Λιθόσφαιρα:8 είναι μέρος του [MASK] [MASK] . [SEP],Πρωταθλήματος:2,Γη:2,0,Γη:2,0
[CLS] ο Σιντάρτα:5 Γκαουτάμα:5 είναι μέρος του [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Σιντάρτα:5,Βουδισμού:4,0,Βουδισμός:5,0
[CLS] το Ανταρκτική:4 είναι μέρος του [MASK] [MASK] [MASK] [MASK] . [SEP],Αναρκτικής:4,Γη:2,0,Γη:2,0
[CLS] το Νότιο:3 Ημισφαίριο:8 είναι μέρος του [MASK] . [SEP],χώρας,Γη:2,0,Γη:2,0
[CLS] το Τσιμποράζο:7 είναι μέρος του [MASK] [MASK] . [SEP],Δήμου:2,Άνδεις:5,0,Άνδεις:5,0
[CLS] το Όχος:2 ντελ:2 Σαλάδο:4 είναι μέρος του [MASK] [MASK] . [SEP],Όήμου:2,Άνδεις:5,0,Άνδεις:5,0
[CLS] το Χονσού:4 είναι μέρος του [MASK] [MASK] [MASK] [MASK] . [SEP],Χονσού:4,Ιαπωνίας:4,0,Ιαπωνία:4,0
[CLS] το Λευϊτικό:5 είναι μέρος των [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Λευϊτικών:5,Τορών:2,0,Τορά:2,0
[CLS] το Δευτερονόμιο:6 είναι μέρος των [MASK] . [SEP],ΗΠΑ,Τορών:2,0,Τορά:2,0
[CLS] το Αφρική:3 είναι μέρος του [MASK] . [SEP],χώρας,Γη:2,0,Γη:2,0
[CLS] το μαθηματική:4 φυσική:3 είναι μέρος των [MASK] [MASK] [MASK] . [SEP],φυσικής:3,μαθηματικών:5,0,μαθηματικά:5,0
[CLS] το Τοπολογία:3 είναι μέρος των [MASK] [MASK] [MASK] . [SEP],Τοπολογία:3,μαθηματικών:5,0,μαθηματικά:5,0
