sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Harry Shearer:2 is a member of The Credibility:3 Gap . [SEP],The Credibility:3 Gap,The Credibility:3 Gap,1,The Credibility:3 Gap,1,-2.40236
[CLS] John Braxton:3 Hicks is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.62716
[CLS] John Ure:2 is a member of Royal Geographical Society . [SEP],Royal Geographical Society,Royal Geographical Society,1,Royal Geographical Society,1,-2.17573
[CLS] Percival:3 Hartley is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.97549
[CLS] Janet Hemingway is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-4.15817
[CLS] Merton:2 Russell - Cotes:2 is a member of Royal Geographical Society . [SEP],Royal Geographical Society,Royal Geographical Society,1,Royal Geographical Society,1,-2.04537
[CLS] Moti:2 Yung:2 is a member of Association for Computing Machinery:2 . [SEP],Association for Computing Machinery:2,Association for Computing Machinery:2,1,Association for Computing Machinery:2,1,-0.82898
[CLS] Duncan Sommerville:2 is a member of Royal Society of Edinburgh . [SEP],Royal Society of Edinburgh,Royal Society of Edinburgh,1,Royal Society of Edinburgh,1,-1.28453
[CLS] Alistair:2 Horne is a member of Royal Society of Literature . [SEP],Royal Society of Literature,Royal Society of Literature,1,Royal Society of Literature,1,-1.60425
[CLS] John Dainton:2 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.87959
[CLS] Sunspot:2 is a member of New Mutants:2 . [SEP],New Mutants:2,New Mutants:2,1,New Mutants:2,1,-1.73053
[CLS] Philip Miles is a member of Royal Geographical Society . [SEP],Royal Geographical Society,Royal Geographical Society,1,Royal Geographical Society,1,-1.77460
[CLS] Till Lindemann:2 is a member of Rammstein:3 . [SEP],Rammstein:3,Rammstein:3,1,Rammstein:3,1,-0.01267
[CLS] Kazakhstan is a member of Asian Development Bank . [SEP],Asian Development Bank,Asian Development Bank,1,Asian Development Bank,1,-2.93122
[CLS] Henry Bulstrode:3 is a member of Inner Temple . [SEP],Inner Temple,Inner Temple,1,Inner Temple,1,-3.18477
[CLS] John Watson is a member of Black Panther Party . [SEP],Black Panther Party,Black Panther Party,1,Black Panther Party,1,-3.32398
[CLS] Yabloko:3 is a member of Liberal International . [SEP],Liberal International,Liberal International,1,Liberal International,1,-9.86463
[CLS] Lawrence Michael Brown is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.27656
[CLS] Phongchi:2 is a member of Idoling:2 ! ! ! . [SEP],Idoling:2 ! ! !,Idoling:2 ! ! !,1,Idoling:2 ! ! !,1,-2.41707
[CLS] Bangladesh is a member of World Trade Organization . [SEP],World Trade Organization,World Trade Organization,1,World Trade Organization,1,-1.31030
[CLS] James Cockle:2 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.31026
[CLS] Paul Marie Eugène Vieille:2 is a member of French Academy of Sciences . [SEP],French Academy of Sciences,French Academy of Sciences,1,French Academy of Sciences,1,-1.63340
[CLS] Jeff Ellis is a member of Australian Academy of Science . [SEP],Australian Academy of Science,Australian Academy of Science,1,Australian Academy of Science,1,-2.86085
[CLS] Eric Friedlander:3 is a member of American Mathematical Society . [SEP],American Mathematical Society,American Mathematical Society,1,American Mathematical Society,1,-2.38984
[CLS] Alfred Buntru:3 is a member of Schutzstaffel:3 . [SEP],Schutzstaffel:3,Schutzstaffel:3,1,Schutzstaffel:3,1,-0.45486
"[CLS] James Hamilton , 5th Duke of Hamilton is a member of Royal Society . [SEP]",Royal Society,Royal Society,1,Royal Society,1,-1.71070
