fact,label,sentence,langs,number of langs
"('Q503274', 'P176', 'Q26678')","('BMW 7 Series', '[X] is produced by [Y] .', 'BMW')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__tr', 'mbert_base__ko', 'mbert_base__vi', 'mbert_base__el']",10
"('Q1555', 'P1376', 'Q774')","('Guatemala City', '[X] is the capital of [Y] .', 'Guatemala')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__ko', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",10
"('Q174570', 'P159', 'Q84')","('London School of Economics and Political Science', 'The headquarter of [X] is in [Y] .', 'London')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__ko', 'mbert_base__vi', 'mbert_base__mr']",9
"('Q499497', 'P176', 'Q26678')","('BMW 4 Series', '[X] is produced by [Y] .', 'BMW')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__tr', 'mbert_base__ko', 'mbert_base__el']",9
"('Q796427', 'P176', 'Q26678')","('BMW 6 Series', '[X] is produced by [Y] .', 'BMW')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__tr', 'mbert_base__ko', 'mbert_base__el']",9
"('Q272784', 'P36', 'Q1491')","('La Paz Department', 'The capital of [X] is [Y] .', 'La Paz')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__ko', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",9
"('Q35178', 'P1376', 'Q817')","('Kuwait City', '[X] is the capital of [Y] .', 'Kuwait')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__ko', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr', 'mbert_base__yo']",9
"('Q5387', 'P36', 'Q5384')","('Kirov Oblast', 'The capital of [X] is [Y] .', 'Kirov')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__ko', 'mbert_base__vi', 'mbert_base__mr']",9
"('Q683580', 'P159', 'Q16666')","('Nanjing University', 'The headquarter of [X] is in [Y] .', 'Nanjing')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el']",8
"('Q169923', 'P36', 'Q129610')","('County Galway', 'The capital of [X] is [Y] .', 'Galway')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__vi', 'mbert_base__mr']",8
