[CLS] το Π ##ύ ##ργος του Ά ##ι ##φ ##ελ βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ά ##ι ##φ ##λ	Παρίσι
[CLS] το Π ##ύ ##ργος του Ά ##ι ##φ ##ελ βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Ρ ##ό ##τερ ##ντα ##μ
[CLS] το Π ##ύ ##ργος του Ά ##ι ##φ ##ελ βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	νησί	Ευρώπη
[CLS] το Π ##ύ ##ργος του Ά ##ι ##φ ##ελ βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Κ ##ο ##λων ##ία
[CLS] το Γ ##ερ ##μαν ##ικές ο ##μο ##σ ##πο ##ν ##δια ##κές εκλογές 2013 βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Γ ##ο ##ο	Γερμανία
[CLS] το Γ ##ερ ##μαν ##ικές ο ##μο ##σ ##πο ##ν ##δια ##κές εκλογές 2013 βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Δ ##έ ##κι ##μο ##ν	Κ ##α ##ρ ##χη ##δ ##όν ##α
[CLS] το Γ ##ερ ##μαν ##ικές ο ##μο ##σ ##πο ##ν ##δια ##κές εκλογές 2013 βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	κέντρο	Κ ##α ##τα ##λο ##νία
[CLS] το Γ ##ερ ##μαν ##ικές ο ##μο ##σ ##πο ##ν ##δια ##κές εκλογές 2013 βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Ρ ##ό ##τερ ##ντα ##μ	Ρ ##ό ##τερ ##ντα ##μ
[CLS] το Α ##ζαν ##ία βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Δ	Α ##φ ##ρική
[CLS] το Α ##ζαν ##ία βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Β ##ελ ##ι ##γ ##ρά ##δ ##ι
[CLS] το Α ##ζαν ##ία βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Δ	Κ ##ων ##στα ##ντι ##νού ##πολη
[CLS] το Α ##ζαν ##ία βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Α ##μ ##β ##ερ ##ς	Α ##μ ##β ##έρ ##σα
[CLS] το Σ ##υ ##στο ##ι ##χία Τ ##ε ##τρα ##γων ##ικού Χ ##ιλ ##ιο ##μ ##έ ##τρου βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	χωριό	Α ##υ ##στ ##ρα ##λία
[CLS] το Σ ##υ ##στο ##ι ##χία Τ ##ε ##τρα ##γων ##ικού Χ ##ιλ ##ιο ##μ ##έ ##τρου βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Π ##αν ##α ##θη ##να	Αθήνα
[CLS] το Σ ##υ ##στο ##ι ##χία Τ ##ε ##τρα ##γων ##ικού Χ ##ιλ ##ιο ##μ ##έ ##τρου βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Λ ##ω ##ζ ##άν ##ης	Λ ##ω ##ζ ##άν ##η
[CLS] το Σ ##υ ##στο ##ι ##χία Τ ##ε ##τρα ##γων ##ικού Χ ##ιλ ##ιο ##μ ##έ ##τρου βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Β ##εν ##ε του	Β ##εν ##ε ##τία
[CLS] το Σ ##υ ##ν ##θήκη με ##ίωση ##ς σ ##τρα ##τη ##γική ##ς ε ##π ##ι ##θ ##έ ##σεων βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Παρίσι	Μ ##ό ##σ ##χα
[CLS] το Σ ##υ ##ν ##θήκη με ##ίωση ##ς σ ##τρα ##τη ##γική ##ς ε ##π ##ι ##θ ##έ ##σεων βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	πόλη	Ε ##δ ##ι ##μ ##βο ##ύ ##ρ ##γο
[CLS] το Σ ##υ ##ν ##θήκη με ##ίωση ##ς σ ##τρα ##τη ##γική ##ς ε ##π ##ι ##θ ##έ ##σεων βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	πρωτάθλημα	Κ ##ύ ##π ##ρο
[CLS] το Σ ##υ ##ν ##θήκη με ##ίωση ##ς σ ##τρα ##τη ##γική ##ς ε ##π ##ι ##θ ##έ ##σεων βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Λ ##ει ##ψ ##ία	Λ ##ει ##ψ ##ία
[CLS] το Δ ##ε ##κα ##ε ##τής Π ##ό ##λε ##μος βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	κέντρο	Κ ##ού ##βα
[CLS] το Δ ##ε ##κα ##ε ##τής Π ##ό ##λε ##μος βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Γ ##έ ##φ ##υ ##ρα	Ρ ##ώμη
[CLS] το Δ ##ε ##κα ##ε ##τής Π ##ό ##λε ##μος βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Β μέρος	Κ ##ων ##στα ##ντι ##νού ##πολη
[CLS] το Δ ##ε ##κα ##ε ##τής Π ##ό ##λε ##μος βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Μ ##ό ##σ ##χα του	Μ ##ό ##σ ##χα
[CLS] το Ο ##λ ##υ ##μ ##π ##ια ##κό Γ ##υ ##μ ##να ##στήριο Ά ##νω Λ ##ιο ##σ ##ίων βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ά ##νω Λ ##σ ##ίων	Αθήνα
