sentence,prediction,gold_inflection,is_same,gold_original,is_same
"[CLS] Лоу:2 , Бернард:3 Фрэнсис:4 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",за мест ( Лоу:2,архиепископа:2,0,архиепископ,0
"[CLS] Кандатхил:5 , Августин:2 занимает должность [MASK] [MASK] [MASK] [MASK] . [SEP]",за в в назначения,архиепископа:2,0,архиепископ,0
[CLS] Иоанн XXI занимает должность [MASK] . [SEP],назначения,Папо:2 Римский:2,0,Папа Римский:2,0
[CLS] Лев XII занимает должность [MASK] . [SEP],назначения,кардинала:3,0,кардинал:2,0
[CLS] Марин:2 II занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],са:2 из р с,Папо:2 Римский:2,0,Папа Римский:2,0
[CLS] Фотин:3 Сирмийский:4 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],з правления (мы:2 ),епископа,0,епископ,0
[CLS] Агостино:4 Валлини:3 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],исп правления ( обязанности ),архиепископа:2,0,архиепископ,0
[CLS] Самсон:2 Дольский:2 занимает должность [MASK] [MASK] . [SEP],главы правления,епископа,0,епископ,0
[CLS] Солейман:3 Сефи:2 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],из правления ( см ),шаха:2,0,шах:2,0
[CLS] Урбан:3 III занимает должность [MASK] [MASK] [MASK] . [SEP],соствен:2 назначения,Папо:2 Римский:2,0,Папа Римский:2,0
[CLS] Пий:2 VII занимает должность [MASK] [MASK] . [SEP],з года,епископа,0,епископ,0
[CLS] Георг Копп:3 занимает должность [MASK] [MASK] . [SEP],главы правления,епископа,0,епископ,0
[CLS] Дора:2 Бакоянни:4 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],со правления ( с ),мэра:2,0,мэр:2,0
[CLS] Присциллиан:5 занимает должность [MASK] [MASK] [MASK] [MASK] . [SEP],ж из з назначения,епископа,0,епископ,0
[CLS] Пьер:2 Абеляр:4 занимает должность [MASK] [MASK] . [SEP],главыа:2,аббата:2,0,аббат:2,0
"[CLS] Швиц:3 , Роджер:2 Лоуренс:3 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",за правления (правлен:2 ),архиепископа:2,0,архиепископ,0
[CLS] Илия:2 II занимает должность [MASK] [MASK] . [SEP],главы года,патриарха:4,0,патриарх:3,0
"[CLS] Лаццаротто:4 , Джузеппе:4 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",исп правления (мы:2 ),архиепископа:2,0,архиепископ,0
[CLS] Павел IV занимает должность [MASK] . [SEP],назначения,Папо:2 Римский:2,0,Папа Римский:2,0
"[CLS] Штаупиц:4 , Иоганн:3 фон занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",исп правления (мы:2 ),аббата:2,0,аббат:2,0
"[CLS] Помпили:3 , Базилио:4 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",исп правления ( с ),епископа,0,епископ,0
[CLS] Целестин:3 IV занимает должность [MASK] [MASK] . [SEP],з правления,Папо:2 Римский:2,0,Папа Римский:2,0
[CLS] Аарон:3 Скотус:3 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],со правления от 5 ),аббата:2,0,аббат:2,0
[CLS] Лев VII занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],са:2 в . .,Папо:2 Римский:2,0,Папа Римский:2,0
[CLS] Одон:2 Клюнийский:4 занимает должность [MASK] . [SEP],совета,аббата:2,0,аббат:2,0
[CLS] Гельмут:4 Цильк:3 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],из правления ( см ),мэра:2,0,мэр:2,0
[CLS] Бертан:3 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],со правления ( 1 с,аббата:2,0,аббат:2,0
[CLS] Ансельм:4 Кентерберийский:6 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],з правления (мы:2 ),аббата:2,0,аббат:2,0
"[CLS] Моран:3 , Фрэнсис:4 Патрик:3 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",заа:2 ( об ),епископа,0,епископ,0
[CLS] Евгенд:4 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],с правления в . с,аббата:2,0,аббат:2,0
[CLS] Лев XIII занимает должность [MASK] [MASK] . [SEP],пол правления,кардинала:3,0,кардинал:2,0
[CLS] Бальдерик:4 Бургулийский:4 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],из правления ( не ),епископа,0,епископ,0
[CLS] Климент:3 XII занимает должность [MASK] [MASK] . [SEP],о года,Папо:2 Римский:2,0,Папа Римский:2,0
[CLS] Гарри:2 Карпентер:4 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],за правления зправлен:2 ),епископа,0,епископ,0
[CLS] Ги:2 де Туар:2 занимает должность [MASK] [MASK] [MASK] [MASK] . [SEP],из правления з назначения,регента:3,0,регент:3,0
[CLS] Климент:3 X занимает должность [MASK] . [SEP],церкви,Папо:2 Римский:2,0,Папа Римский:2,0
[CLS] Абу Инан:2 Фарис:3 занимает должность [MASK] [MASK] . [SEP],главыа:2,султана:2,0,султан,0
"[CLS] Годфри:4 , Уильям занимает должность [MASK] [MASK] . [SEP]",ответа:2,кардинала:3,0,кардинал:2,0
[CLS] Гиларий:3 занимает должность [MASK] . [SEP],человека,Папо:2 Римский:2,0,Папа Римский:2,0
[CLS] Лев XIII занимает должность [MASK] [MASK] . [SEP],пол правления,Папо:2 Римский:2,0,Папа Римский:2,0
"[CLS] Феррата:3 , Доменико:3 занимает должность [MASK] [MASK] [MASK] [MASK] . [SEP]",за в за назначения,кардинала:3,0,кардинал:2,0
[CLS] Бертвальд:4 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],со правления в см с,аббата:2,0,аббат:2,0
[CLS] Антонио Мария Саули:2 занимает должность [MASK] [MASK] . [SEP],главы правления,архиепископа:2,0,архиепископ,0
"[CLS] Костантини:3 , Чельсо:3 Бениньо:3 Луиджи:3 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",исп мест излата:2 ),кардинала:3,0,кардинал:2,0
[CLS] Милослав:3 Влк:2 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],со правления ( см с,кардинала:3,0,кардинал:2,0
"[CLS] Картер:3 , Джеральд:3 Эмметт:4 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",за мест (арт:2 ),архиепископа:2,0,архиепископ,0
[CLS] Абу Закария:3 Яхья:3 I занимает должность [MASK] . [SEP],правления,султана:2,0,султан,0
"[CLS] Дью:2 , Джон Эчерли:4 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",испа:2 ( об ),архиепископа:2,0,архиепископ,0
[CLS] Бенедикт:3 XVI занимает должность [MASK] [MASK] . [SEP],пол года,архиепископа:2,0,архиепископ,0
[CLS] Франц Людвиг:4 Пфальц - Нейбургский:4 занимает должность [MASK] . [SEP],совета,архиепископа:2,0,архиепископ,0
"[CLS] Стрес:3 , Антон занимает должность [MASK] [MASK] . [SEP]",кма:2,архиепископа:2,0,архиепископ,0
[CLS] Роберто:2 Беллармин:4 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],исп правления ( не ),архиепископа:2,0,архиепископ,0
"[CLS] Форд:2 , Роб:2 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",соа:2 (правлен:2 ),члена местногета:3,0,член местного совета,0
[CLS] Урбан:3 VI занимает должность [MASK] [MASK] [MASK] . [SEP],соствен:2 назначения,Папо:2 Римский:2,0,Папа Римский:2,0
[CLS] Стефан дю:2 Перш:2 занимает должность [MASK] . [SEP],правления,архиепископа:2,0,архиепископ,0
[CLS] Мозаффар:5 эд:2 - Дин:2 - шах:2 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],из правления из же назначения,шаха:2,0,шах:2,0
[CLS] Иоанн XIX занимает должность [MASK] . [SEP],назначения,Папо:2 Римский:2,0,Папа Римский:2,0
[CLS] Стефан II занимает должность [MASK] [MASK] . [SEP],ос года,Папо:2 Римский:2,0,Папа Римский:2,0
"[CLS] Гуггенхайм:5 , Мейер:3 занимает должность [MASK] [MASK] . [SEP]",мест мест,патриарха:4,0,патриарх:3,0
[CLS] Экзуперий:5 Тулузский:4 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],з правления ( не ),епископа,0,епископ,0
[CLS] Григорий XV занимает должность [MASK] . [SEP],епископа,Папо:2 Римский:2,0,Папа Римский:2,0
[CLS] Александр VIII занимает должность [MASK] . [SEP],назначения,кардинала:3,0,кардинал:2,0
[CLS] Анастасий:3 Библиотекарь:5 занимает должность [MASK] . [SEP],директора,аббата:2,0,аббат:2,0
[CLS] Иннокентий:4 X занимает должность [MASK] . [SEP],назначения,Папо:2 Римский:2,0,Папа Римский:2,0
"[CLS] Хаас:3 , Вольфганг:4 занимает должность [MASK] [MASK] . [SEP]",нем года,архиепископа:2,0,архиепископ,0
[CLS] Адольф:3 III занимает должность [MASK] [MASK] . [SEP],нем года,архиепископа:2,0,архиепископ,0
[CLS] Пий:2 VII занимает должность [MASK] [MASK] . [SEP],з года,Папо:2 Римский:2,0,Папа Римский:2,0
[CLS] Луп:2 Труанский:3 занимает должность [MASK] . [SEP],правления,епископа,0,епископ,0
[CLS] Анджело:3 Амато:3 занимает должность [MASK] . [SEP],правления,архиепископа:2,0,архиепископ,0
[CLS] Виллиброрд:5 занимает должность [MASK] [MASK] [MASK] [MASK] . [SEP],со в в назначения,епископа,0,епископ,0
"[CLS] Каспер:3 , Вальтер:3 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",соа:2 (правлен:2 ),кардинала:3,0,кардинал:2,0
[CLS] Альдхельм:5 занимает должность [MASK] . [SEP],человека,епископа,0,епископ,0
[CLS] Турстан:2 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],с правления ( . с,архиепископа:2,0,архиепископ,0
"[CLS] Кэнтуэлл:5 , Джон Джозеф:2 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]",из мест (правлен:2 ),архиепископа:2,0,архиепископ,0
"[CLS] Гефеле:3 , Карл - Йозеф:2 занимает должность [MASK] [MASK] . [SEP]",нема:2,епископа,0,епископ,0
[CLS] Фердинанд Австрийский:4 занимает должность [MASK] . [SEP],совета,архиепископа:2,0,архиепископ,0
[CLS] Шейла:3 Диксон:3 занимает должность [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],из правления ( см ),мэра:2,0,мэр:2,0
