sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] Soren:2 Holm:2 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,bioethics:3,0,bioethics:3,0
[CLS] Nail:2 Bakirov:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and -s:2,probability theory,0,probability theory,0
[CLS] Bertrand Russell works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" and ands:2 theory",history of philosophy,0,history of philosophy,0
[CLS] Joseph Barth:2 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" and and ands:2",ophthalmology:4,0,ophthalmology:4,0
[CLS] feedback works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,control theory,0,control theory,0
[CLS] Victor Maslov:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and -s:2,mathematical physics,0,mathematical physics,0
[CLS] cityscape:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,art of painting,0,art of painting,0
[CLS] George Pólya:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" - and ands:2",combinatorics:3,0,combinatorics:3,0
[CLS] Frans:2 de Waal:2 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and -s:2,ethology:3,0,ethology:3,0
[CLS] José Antonio Pavón:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and -s:2,botany:3,0,botany:3,0
[CLS] Bureau of Meteorology:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,meteorology:3,0,meteorology:3,0
[CLS] Edward Rudge:2 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" and andss:3",botany:3,0,botany:3,0
[CLS] Madeleine M . Joullié:4 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,organic chemistry,0,organic chemistry,0
[CLS] Liberty Hyde Bailey works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" and and and """,botany:3,0,botany:3,0
[CLS] Jeff Dinitz:2 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" and and and research",combinatorics:3,0,combinatorics:3,0
[CLS] András:3 Hajnal:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and -s:2,combinatorics:3,0,combinatorics:3,0
[CLS] armed forces works in the field of [MASK] [MASK] [MASK] [MASK] . [SEP],the and ands:2,military science,0,military science,0
[CLS] Odd Hassel:2 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,physical chemistry,0,physical chemistry,0
[CLS] toxinology:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,toxin:2,0,toxin:2,0
[CLS] Subrahmanyan:4 Chandrasekhar:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" and and ands:2",astrophysics:3,0,astrophysics:3,0
[CLS] L . W . Beineke:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and ands:2,graph theory,0,graph theory,0
[CLS] Bogdan:3 Dobrescu:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,particle physics,0,particle physics,0
[CLS] World History Association works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" and and ands:2",world history,0,world history,0
[CLS] Giuseppe Luigi Assemani:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,Oriental studies,0,Oriental studies,0
[CLS] Panos:2 Valavanis:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and -s:2,classical archaeology,0,classical archaeology,0
[CLS] Georges Valiron:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and -s:2,mathematical analysis,0,mathematical analysis,0
[CLS] Ernst Zermelo:4 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,mathematical logic,0,mathematical logic,0
[CLS] George Claridge:3 Druce:2 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" and and ands:2",botany:3,0,botany:3,0
[CLS] Jay Wright Forrester:2 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" - and and research",system dynamics,0,system dynamics,0
[CLS] Werner Rothmaler:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and ands:2,botany:3,0,botany:3,0
[CLS] Robert Goldblatt:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" - and ands:2",mathematical logic,0,mathematical logic,0
[CLS] Julius Anatolyovich:4 Schrader:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and ands:2,cybernetics:5,0,cybernetics:5,0
[CLS] The Serra Project works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" and ands:2 research",homelessness:2,0,homelessness:2,0
[CLS] John Sibthorp:4 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" and andss:3",botany:3,0,botany:3,0
[CLS] David M . Wilson works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and and research,Viking Age,0,Viking Age,0
[CLS] Viennese:3 Actionism:2 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" and and -ism:2",body art,0,body art,0
[CLS] airport police works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . andss:3,airport security,0,airport security,0
[CLS] Dimitris:2 Dimitrakos:4 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,Marxism:2,0,Marxism:2,0
[CLS] Victor Kac:2 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,mathematical physics,0,mathematical physics,0
[CLS] IEEE Emanuel R . Piore:2 Award works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" and and ands:2",computer science,0,computer science,0
[CLS] George Albert Boulenger:3 works in the field of [MASK] . [SEP],music,zoology:2,0,zoology:2,0
[CLS] Ernst Sejersted:3 Selmer:2 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,number theory,0,number theory,0
[CLS] Ivan Buresh:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and ands:2,zoology:2,0,zoology:2,0
[CLS] Robert S . Mulliken:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and and research,physical chemistry,0,physical chemistry,0
[CLS] Paul Epstein:3 works in the field of [MASK] . [SEP],psychology,number theory,0,number theory,0
[CLS] Alfred Aeppli:4 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - and -s:2,probability theory,0,probability theory,0
[CLS] Frigyes:3 Riesz:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and -s:2,functional analysis,0,functional analysis,0
[CLS] Ernest Candèze:4 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and -s:2,entomology:3,0,entomology:3,0
[CLS] Ram Prakash Bambah:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,number theory,0,number theory,0
[CLS] Harry Morton Fitzpatrick:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" and and ands:2",mycology:2,0,mycology:2,0
[CLS] Weka:2 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,machine learning,0,machine learning,0
[CLS] Julio Baghy:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,Esperanto:4,0,Esperanto:4,0
[CLS] Edward J . Lofgren:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" - andss:3",nuclear physics,0,nuclear physics,0
[CLS] Hans Fitting:2 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the and and ands:2,group theory,0,group theory,0
[CLS] Blaise:3 Alexandre Desgoffe:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the - - -s:2,still life,0,still life,0
[CLS] Robert Ridgway:4 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" and andss:3",ornithology:4,0,ornithology:4,0
