Q2	পৃথিবী
Q5	মানুষ
Q15	আফ্রিকা
Q16	কানাডা
Q17	জাপান
Q18	দক্ষিণ আমেরিকা
Q20	নরওয়ে
Q21	ইংল্যান্ড
Q22	স্কটল্যান্ড
Q25	ওয়েল্স্
Q26	উত্তর আয়ারল্যান্ড
Q27	প্রজাতন্ত্রী আয়ারল্যান্ড
Q28	হাঙ্গেরি
Q29	স্পেন
Q30	মার্কিন যুক্তরাষ্ট্র
Q31	বেলজিয়াম
Q32	লুক্সেমবুর্গ
Q33	ফিনল্যান্ড
Q34	সুইডেন
Q35	ডেনমার্ক
Q36	পোল্যান্ড
Q37	লিথুয়ানিয়া
Q38	ইতালি
Q39	সুইজারল্যান্ড
Q40	অস্ট্রিয়া
Q41	গ্রিস
Q42	ডগলাস অ্যাডামস
Q43	তুরস্ক
Q44	বিয়ার
Q45	পর্তুগাল
Q46	ইউরোপ
Q48	এশিয়া
Q49	উত্তর আমেরিকা
Q51	অ্যান্টার্কটিকা
Q52	উইকিপিডিয়া
Q55	নেদারল্যান্ডস
Q58	শিশ্ন
Q60	নিউ ইয়র্ক
Q61	ওয়াশিংটন, ডি.সি.
Q62	সান ফ্রান্সিস্কো
Q64	বার্লিন
Q65	লস অ্যাঞ্জেলেস
Q66	বোয়িং
Q67	এয়ারবাস
Q68	কম্পিউটার
Q70	বের্ন
Q71	জেনেভা
Q72	জুরিখ
Q75	ইন্টারনেট
Q76	বারাক ওবামা
Q77	উরুগুয়ে
Q78	বাজেল
Q79	মিশর
Q82	প্রিন্টার
Q84	লন্ডন
Q85	কায়রো
Q86	মাথাব্যথা
Q87	আলেকজান্দ্রিয়া
Q88	অ্যালেক্সান্ড্রিয়া, ভার্জিনিয়া
Q89	আপেল
Q90	প্যারিস
Q95	গুগল
Q96	মেক্সিকো
Q99	ক্যালিফোর্নিয়া
Q100	বস্টন
Q107	স্থান
Q111	মঙ্গল
Q112	মার্স
Q114	কেনিয়া
Q115	ইথিওপিয়া
Q117	ঘানা
Q140	সিংহ
Q142	ফ্রান্স
Q143	এস্পেরান্তো
Q144	কুকুর
Q145	যুক্তরাজ্য
Q148	গণপ্রজাতন্ত্রী চীন
Q150	ফরাসি ভাষা
Q152	মাছ
Q153	ইথানল
Q154	মদ
Q155	ব্রাজিল
Q156	অ্যালকোহল
Q159	রাশিয়া
Q165	সাগর
Q166	কৃষ্ণ সাগর
Q172	টরোন্টো
Q173	অ্যালাবামা
Q174	সাও পাওলো
Q175	সাঁও পাওলো
Q176	কেবেক
Q177	পিৎজা
Q183	জার্মানি
Q184	বেলারুশ
Q185	ল্যারি স্যাঙ্গার
Q188	জার্মান ভাষা
Q189	আইসল্যান্ড
Q190	ঈশ্বর
Q191	এস্তোনিয়া
Q192	ডেভিড ক্যামেরন
Q193	শনি গ্রহ
Q195	চকলেট
Q206	স্টিফেন জোসেফ হার্পার
Q211	লাতভিয়া
Q212	ইউক্রেন
Q213	চেক প্রজাতন্ত্র
Q214	স্লোভাকিয়া
Q215	স্লোভেনিয়া
Q216	ভিলনিউস
Q217	মলদোভা
Q218	রোমানিয়া
Q219	বুলগেরিয়া
Q220	রোম
Q221	উত্তর ম্যাসেডোনিয়া
Q222	আলবেনিয়া
Q223	গ্রিনল্যান্ড
Q224	ক্রোয়েশিয়া
Q225	বসনিয়া ও হার্জেগোভিনা
Q226	নুউক
Q227	আজারবাইজান
Q228	অ্যান্ডোরা
Q229	সাইপ্রাস
Q230	জর্জিয়া
Q232	কাজাখস্তান
Q233	মাল্টা
Q235	মোনাকো
Q236	মন্টিনিগ্রো
Q237	ভ্যাটিকান সিটি
Q238	সান মারিনো
Q239	ব্রাসেলস
Q240	ব্রাসেল্স
Q241	কিউবা
Q242	বেলিজ
Q243	আইফেল টাওয়ার
Q244	বার্বাডোস
Q248	ইন্টেল কর্পোরেশন
Q250	কম্পিউটার কীবোর্ড
Q252	ইন্দোনেশিয়া
Q254	ভোল্ফগাংক্ আমাডেয়ুস মোৎসার্ট
Q256	তুর্কি ভাষা
Q258	দক্ষিণ আফ্রিকা
Q262	আলজেরিয়া
Q265	উজবেকিস্তান
Q268	পোজনান
Q269	তাশখন্দ
Q270	ওয়ারশ
Q276	ইউরোভিশন সঙ্গীত প্রতিযোগিতা
Q279	মদিনা
Q282	মদ
Q283	পানি
Q286	পাকাচামড়া
Q287	কাঠ
Q288	টুঁর
Q289	টেলিভিশন
Q290	যৌনতা
Q291	পর্নোগ্রাফি
Q294	আইসল্যান্ডীয় ভাষা
Q298	চিলি
Q302	যিশু
Q303	এলভিস প্রেসলি
Q307	গ্যালিলিও গ্যালিলেই
Q309	ইতিহাস
Q312	অ্যাপল ইনকর্পোরেটেড
Q313	শুক্র গ্রহ
Q315	ভাষা
Q318	ছায়াপথ
Q319	বৃহস্পতি গ্রহ
Q327	ব্রতাইন
Q332	নেপচুন গ্রহ
Q333	জ্যোতির্বিজ্ঞান
Q334	সিঙ্গাপুর
Q336	বিজ্ঞান
Q338	বিশ্বতত্ত্ব
Q340	মন্ট্রিঅল
Q345	মেরি, যিশুর মাতা
Q347	লিশটেনস্টাইন
Q350	ক্যামব্রিজ
Q351	ইয়েলোস্টোন জাতীয় উদ্যান
Q352	আডলফ হিটলার
Q361	প্রথম বিশ্বযুদ্ধ
Q362	দ্বিতীয় বিশ্বযুদ্ধ
Q365	কোলন
Q368	আউগুস্তো পিনোচে
Q376	ঘড়ি
Q384	স্কোপজে
Q385	গিদেনিয়া
Q388	লিনাক্স
Q392	বব ডিলন
Q393	স্টাজিন
Q395	গণিত
Q396	ইউটু
Q397	লাতিন ভাষা
Q398	বাহরাইন
Q399	আর্মেনিয়া
Q403	সার্বিয়া
Q405	চাঁদ
Q406	ইস্তানবুল
Q408	অস্ট্রেলিয়া
Q413	পদার্থবিজ্ঞান
Q414	আর্জেন্টিনা
Q419	পেরু
Q420	জীববিজ্ঞান
Q423	উত্তর কোরিয়া
Q424	কম্বোডিয়া
Q428	কুরআন
