Q31	Бельгия
Q42	Дуглас Адамс
Q45	Португалия
Q51	Антарктида
Q58	пенис
Q68	компьютер
Q75	Интернет
Q144	собака
Q148	Китайская Народная Республика
Q155	Бразилия
Q163	Йоркшир
Q177	пицца
Q183	Германия
Q233	Мальта
Q288	Тур
Q298	Чили
Q362	Вторая мировая война
Q368	Аугусто Пиночет
Q398	Бахрейн
Q431	зоология
Q506	цветок
Q514	анатомия
Q544	Солнечная система
Q556	водород
Q585	Осло
Q586	Бонн
Q595	1+1
Q597	Лиссабон
Q619	Николай Коперник
Q633	Нил Янг
Q634	планета
Q648	Лилль
Q686	Вануату
Q694	Южная Голландия
Q722	ванадий
Q771	Массачусетс
Q801	Израиль
Q807	Лозанна
Q819	Лаос
Q859	Платон
Q863	Таджикистан
Q869	Таиланд
Q878	Объединённые Арабские Эмираты
Q880	платина
Q891	Нижний Новгород
Q912	Мали
Q916	Ангола
Q1044	Сьерра-Леоне
Q1049	Судан
Q1057	метаболизм
Q1071	география
Q1183	Пуэрто-Рико
Q1204	Иллинойс
Q1276	Леонард Коэн
Q1297	Чикаго
Q1363	Трипура
Q1469	Луара
Q1489	Мехико
Q1494	Миссисипи
Q1499	Уттаракханд
Q1511	Рихард Вагнер
Q1522	Нью-Мексико
Q1533	Каракас
Q1644	Эльба
Q1707	Киль
Q1711	Потсдам
Q1721	Висбаден
Q1757	Хельсинки
Q1860	английский язык
Q1890	Бенкулу
Q2003	Ньюфаундленд и Лабрадор
Q2073	Республика Коми
Q2096	Эдмонтон
Q2119	Мангейм
Q2132	Виктория
Q2185	Жорж Помпиду
Q2190	Колюш
Q2471	Сана
Q2518	Гельмут Коль
Q2546	бромид калия
Q2683	Парма
Q2751	Сиена
Q3344	2-й округ Лиона
Q3586	Восточная Ява
Q3680	Краснодарский край
Q3751	Прая
Q3761	Аккра
Q3769	Французская Гвиана
Q3799	Порто-Ново
Q3825	Либревиль
Q3863	астероид
Q3881	Лусака
Q3908	Галисия
Q3949	Унна
Q3955	Веймар
Q4128	Луи Арагон
Q4131	Гамильтон
Q4261	Мишель Платини
Q4762	Рой Бадд
Q5146	португальский язык
Q5257	Сатавахана
Q5383	Дэвид Боуи
Q5693	Южное Саво
Q5710	Башкортостан
Q5711	Уусимаа
Q5713	Мары
Q5811	Мазаччо
Q5813	Канарские острова
Q5836	Толедо
Q5948	Везермарш
Q6106	Портленд
Q6167	Теува
Q6225	Ковентри
Q6253	Рейн-Нойс
Q6543	Хакасия
Q6654	хорватский язык
Q7024	Лугано
Q7150	экология
Q7162	генетика
Q7186	Мария Склодовская-Кюри
Q7239	особь
Q7270	республика
Q7318	Третий рейх
Q7320	Национал-социалистическая немецкая рабочая партия
Q7336	Франк, Отто
Q7346	Джон Колтрейн
Q7348	Инд
Q7365	мышца
Q7525	Севастополь
Q7550	Луцк
Q7788	Хабаровский край
Q7911	Майн-Кинциг
Q7918	болгарский язык
Q7922	педагогика
Q8028	фея
Q8093	Nintendo
Q8269	Повесть о Гэндзи
Q8341	джаз
Q8413	Константин I Великий
Q8449	испанская Википедия
Q8488	Летние Олимпийские игры 1992
Q8502	гора
Q8577	Летние Олимпийские игры 2012
Q8739	Архимед
Q8826	Пальма
Q8860	Орион
Q9016	A6
Q9085	Мандалуионг
Q9091	белорусский язык
Q9266	салат
Q9279	Бандар-Сери-Бегаван
Q9337	Фламандский регион
Q9365	Душанбе
