Q2	כדור הארץ
Q5	אדם
Q15	אפריקה
Q16	קנדה
Q17	יפן
Q18	אמריקה הדרומית
Q20	נורווגיה
Q21	אנגליה
Q22	סקוטלנד
Q25	ויילס
Q26	צפון אירלנד
Q27	אירלנד
Q28	הונגריה
Q29	ספרד
Q30	ארצות הברית
Q31	בלגיה
Q32	לוקסמבורג
Q33	פינלנד
Q34	שוודיה
Q35	דנמרק
Q36	פולין
Q37	ליטא
Q38	איטליה
Q39	שווייץ
Q40	אוסטריה
Q41	יוון
Q42	דאגלס אדמס
Q43	טורקיה
Q44	בירה
Q45	פורטוגל
Q46	אירופה
Q48	אסיה
Q49	אמריקה הצפונית
Q51	אנטארקטיקה
Q52	ויקיפדיה
Q55	הולנד
Q58	פין
Q60	ניו יורק
Q61	וושינגטון די. סי.
Q62	סן פרנסיסקו
Q64	ברלין
Q65	לוס אנג'לס
Q66	בואינג
Q67	איירבוס
Q68	מחשב
Q70	ברן
Q71	ז'נבה
Q72	ציריך
Q75	אינטרנט
Q76	ברק אובמה
Q77	אורוגוואי
Q78	בזל
Q79	מצרים
Q82	מדפסת
Q84	לונדון
Q85	קהיר
Q86	כאב ראש
Q87	אלכסנדריה
Q88	אלכסנדריה
Q89	תפוח
Q90	פריז
Q95	חברת גוגל
Q96	מקסיקו
Q99	קליפורניה
Q100	בוסטון
Q107	מרחב
Q111	מאדים
Q112	מרס
Q114	קניה
Q115	אתיופיה
Q117	גאנה
Q140	אריה
Q142	צרפת
Q143	אספרנטו
Q144	כלב הבית
Q145	הממלכה המאוחדת
Q148	הרפובליקה העממית של סין
Q150	צרפתית
Q152	דג
Q153	אתנול
Q154	משקה חריף
Q155	ברזיל
Q156	כוהל
Q159	רוסיה
Q163	יורקשייר
Q165	ים
Q166	הים השחור
Q172	טורונטו
Q173	אלבמה
Q174	סאו פאולו
Q175	סאו פאולו
Q176	קוויבק
Q177	פיצה
Q183	גרמניה
Q184	בלארוס
Q185	לארי סנגר
Q188	גרמנית
Q189	איסלנד
Q190	אלוהים
Q191	אסטוניה
Q192	דייוויד קמרון
Q193	שבתאי
Q195	שוקולד
Q206	סטיבן הרפר
Q211	לטביה
Q212	אוקראינה
Q213	צ'כיה
Q214	סלובקיה
Q215	סלובניה
Q216	וילנה
Q217	מולדובה
Q218	רומניה
Q219	בולגריה
Q220	רומא
Q221	מקדוניה הצפונית
Q222	אלבניה
Q223	גרינלנד
Q224	קרואטיה
Q225	בוסניה והרצגובינה
Q226	נואוק
Q227	אזרבייג'ן
Q228	אנדורה
Q229	קפריסין
Q230	גאורגיה
Q231	ולוניה
Q232	קזחסטן
Q233	מלטה
Q234	פלנדריה
Q235	מונקו
Q236	מונטנגרו
Q237	קריית הוותיקן
Q238	סן מרינו
Q239	בריסל
Q240	בריסל
Q241	קובה
Q242	בליז
Q243	מגדל אייפל
Q244	ברבדוס
Q248	אינטל
Q250	מקלדת מחשב
Q252	אינדונזיה
Q254	וולפגנג אמדאוס מוצרט
Q256	טורקית
Q258	דרום אפריקה
Q262	אלג'יריה
Q265	אוזבקיסטן
Q268	פוזנן
Q269	טשקנט
Q270	ורשה
Q272	פול מוראן
Q276	תחרות הזמר של האירוויזיון
Q279	מודנה
Q282	יין
Q283	מים
Q286	עור
Q287	עץ
Q288	טור
Q289	טלוויזיה
Q290	מין
Q291	פורנוגרפיה
Q294	איסלנדית
Q298	צ'ילה
Q302	ישו
Q303	אלביס פרסלי
Q307	גלילאו גליליי
Q309	היסטוריה
Q312	אפל
Q313	נוגה
Q315	שפה
Q318	גלקסיה
Q319	צדק
Q322	שאנוויירפושגוונגיש
Q327	ברטאן
Q332	רהב
Q333	אסטרונומיה
Q334	סינגפור
Q336	מדע
Q338	קוסמולוגיה
Q340	מונטריאול
Q345	מרים, אם ישו
Q347	ליכטנשטיין
Q350	קיימברידג'
Q351	הפארק הלאומי ילוסטון
Q352	אדולף היטלר
Q361	מלחמת העולם הראשונה
Q362	מלחמת העולם השנייה
Q365	קלן
Q368	אוגוסטו פינושה
Q375	ופל
Q376	שעון
Q384	סקופיה
Q385	גדיניה
Q388	לינוקס
Q392	בוב דילן
