Relation	Label	Desc	Type	Vietnamese Template	English Template
P19	place of birth	most specific known (e.g. city instead of country, or hospital instead of city) birth location of a person, animal or fictional character	N-1	[X] sinh ra ở [Y] .	[X] was born in [Y] .
P20	place of death	most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character	N-1	[X] mất ở [Y] .	[X] died in [Y] .
P279	subclass of	all instances of these items are instances of those items; this item is a class (subset) of that item. Not to be confused with P31 (instance of)	N-1	[X] là tập hợp con của [Y] .	[X] is a subclass of [Y] .
P37	official language	language designated as official by this item	N-1	Ngôn ngữ chính thức của [X] là [Y] .	The official language of [X] is [Y] .
P413	position played on team / speciality	position or specialism of a player on a team, e.g. Small Forward	N-1	[X] chơi ở vị trí [Y] .	[X] plays in [Y] position .
P166	award received	award or recognition received by a person, organisation or creative work	N-M	[X] được trao giải [Y] .	[X] was awarded the [Y] .
P449	original network	network(s) the radio or television show was originally aired on,  including	N-1	[X] được phát sóng lần đầu trên kênh [Y] .	[X] was originally aired on [Y] .
P69	educated at	educational institution attended by subject	N-M	[X] được đào tạo tại trường đại học [Y] .	[X] was educated at the University of [Y] .
P47	shares border with	countries or administrative subdivisions, of equal level, that this item borders, either by land or water	N-M	[X] tiếp giáp với [Y] .	[X] shares border with [Y] .
P138	named after	entity or event that inspired the subject's name, or namesake (in at least one language)	N-1	[X] được đặt theo tên của [Y] .	[X] is named after [Y] .
P364	original language of film or TV show	language in which a film or a performance work was originally created. Deprecated for written works; use P407 ("language of work or name") instead.	N-1	Ngôn ngữ gốc của [X] là [Y] .	The original language of [X] is [Y] .
P54	member of sports team	sports teams or clubs that the subject currently represents or formerly represented	N-1	[X] thi đấu cho đội [Y] .	[X] plays with [Y] .
P463	member of	organization or club to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a position such as a member of parliament (use P39 for that).	N-M	[X] là thành viên của đội [Y] .	[X] is a member of [Y] .
P101	field of work	specialization of a person or organization; see P106 for the occupation	N-M	[X] làm việc trong lĩnh vực [Y] .	[X] works in the field of [Y] .
P1923	participating team	Like 'Participant' (P710) but for teams. For an event like a cycle race or a football match you can use this property to list the teams and P710 to list the individuals (with 'member of sports team' (P54)' as a qualifier for the individuals)	N-M	[Y] tham dự giải [X] .	[Y] participated in the [X] .
P106	occupation	occupation of a person; see also "field of work" (Property:P101), "position held" (Property:P39)	N-M	Nghề của [X] là [Y] .	[X] is a [Y] by profession .
P527	has part	part of this subject; inverse property of "part of" (P361). See also "has parts of the class" (P2670).	N-M	[X] bao gồm [Y] .	[X] consists of [Y] .
P102	member of political party	the political party of which this politician is or has been a member	N-1	[X] là thành viên của [Y] .	[X] is a member of the [Y] political party .
P530	diplomatic relation	diplomatic relations of the country	N-M	[X] có quan hệ ngoại giao với [Y] .	[X] maintains diplomatic relations with [Y] .
P176	manufacturer	manufacturer or producer of this product	N-1	[X] được sản xuất bởi [Y] .	[X] is produced by [Y] .
P27	country of citizenship	the object is a country that recognizes the subject as its citizen	N-M	[X] là công dân [Y] .	[X] is [Y] citizen .
P407	language of work or name	language associated with this creative work (such as books, shows, songs, or websites) or a name (for persons use P103 and P1412)	N-1	[X] được viết bằng [Y] .	[X] was written in [Y] .
P30	continent	continent of which the subject is a part	N-1	[X] nằm ở [Y] .	[X] is located in [Y] .
P178	developer	organisation or person that developed the item	N-M	[X] được phát triển bởi [Y] .	[X] is developed by [Y] .
P1376	capital of	country, state, department, canton or other administrative division of which the municipality is the governmental seat	1-1	[X] là thủ đô của [Y] .	[X] is the capital of [Y] .
