sentence,prediction,gold,is_same
[CLS] Soren:2 Holm works in the field of [MASK] [MASK] [MASK] . [SEP],investigator:3,bioethics:3 | bioethics:3,False
[CLS] Nail:2 Bakirov:3 works in the field of [MASK] [MASK] . [SEP],literary criticism,probability theory | probability theory,False
[CLS] The Physiological:2 Society works in the field of [MASK] [MASK] . [SEP],neurology:2,physiology:3 | Physiology | physiology:3,False
[CLS] Bertrand Russell works in the field of [MASK] [MASK] . [SEP],astronomy:2,history of philosophy | History of World Philosophies:2 | history of philosophy,False
[CLS] Joseph Barth works in the field of [MASK] [MASK] [MASK] . [SEP],psychologists:3,ophthalmology:5 | Ophthalmology:5 | eye care | eye medicine | ophthalmology:5,False
[CLS] Hassler:2 Whitney works in the field of [MASK] [MASK] [MASK] . [SEP],electrodynami:3,topology:2 | topology:2,False
[CLS] Rodrigo Caro works in the field of [MASK] [MASK] [MASK] . [SEP],Art . Art,archaeology:3 | Archaeology | archaeology:3 | archeology:3 | archæology:3 | excavation:3,False
[CLS] feedback works in the field of [MASK] [MASK] [MASK] . [SEP],pharmacology:3,control theory | control theory,False
[CLS] Vijay Kumar Patodi:2 works in the field of [MASK] [MASK] [MASK] . [SEP],P . P,topology:2 | topology:2,False
[CLS] Victor Maslov:2 works in the field of [MASK] [MASK] [MASK] . [SEP],psychics:3,mathematical physics | mathematical physics,False
[CLS] Oleg Viro:2 works in the field of [MASK] [MASK] [MASK] . [SEP],investigator:3,topology:2 | topology:2,False
[CLS] cityscape:3 works in the field of [MASK] [MASK] [MASK] . [SEP],cityscape:3,art of painting | art of painting | painting,False
[CLS] George Pólya:3 works in the field of [MASK] [MASK] [MASK] . [SEP],Pólya:3,combinatorics:4 | combinatorics:4,False
[CLS] Frans de Waal:2 works in the field of [MASK] [MASK] [MASK] . [SEP],co - operation,ethology:3 | behavioral:2 biology | behavioural:2 biology | biology of behaviour | ethology:3,False
[CLS] José Antonio Pavón:3 works in the field of [MASK] [MASK] . [SEP],literary criticism,botany:2 | Botany | botany:2 | phytology:3 | plant biology | plant science | plant sciences,False
[CLS] Bureau of Meteorology:2 works in the field of [MASK] [MASK] . [SEP],Meteorology:2,meteorology:3 | meteorology:3,True
[CLS] Edward Rudge:3 works in the field of [MASK] [MASK] [MASK] . [SEP],cognition:3,botany:2 | Botany | botany:2 | phytology:3 | plant biology | plant science | plant sciences,False
[CLS] Madeleine M . Joullié:3 works in the field of [MASK] [MASK] . [SEP],literary criticism,organic chemistry | Organic Chemistry | Organic chemistry | organic chemistry,False
[CLS] Liberty Hyde Bailey works in the field of [MASK] [MASK] . [SEP],literary criticism,botany:2 | Botany | botany:2 | phytology:3 | plant biology | plant science | plant sciences,False
[CLS] Jeff Dinitz:2 works in the field of [MASK] [MASK] [MASK] . [SEP],psychics:3,combinatorics:4 | combinatorics:4,False
[CLS] Abu Nasr:2 Mansur:2 works in the field of [MASK] [MASK] [MASK] . [SEP],Shaykh:3,astronomy:2 | Astronomy | astronomy:2,False
[CLS] András Hajnal:3 works in the field of [MASK] [MASK] [MASK] . [SEP],co - co,combinatorics:4 | combinatorics:4,False
[CLS] Bachelor of Science in Nursing works in the field of [MASK] . [SEP],Nursing,nursing:2 | nursing:2,True
[CLS] armed forces works in the field of [MASK] [MASK] . [SEP],armed forces,military science | Military Science | military science,False
[CLS] Odd Hassel:2 works in the field of [MASK] [MASK] . [SEP],the arts,physical chemistry | physical chemistry,False
[CLS] Boris Grakov:3 works in the field of [MASK] [MASK] [MASK] . [SEP],psychics:3,archaeology:3 | Archaeology | archaeology:3 | archeology:3 | archæology:3 | excavation:3,False
