sentence,prediction,gold,is_same
[CLS] Kenya maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the Department of State,United Kingdom | GBR:2 | U . K . | UK | United Kingdom | United Kingdom of Great Britain and Northern Ireland | [UNK],False
[CLS] Syria maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],the following countries,People ' s Republic of China | CHN:2 | CN | China | Communist China | PR China | PRC:2 | People ' s Republic of China | cn | [UNK],False
[CLS] South Korea maintains diplomatic relations with [MASK] [MASK] . [SEP],South Korea,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] United States of America maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the United States of America,Cape Verde | CPV:2 | CV | Cabo Verde | Cape Verde | Republic of Cape Verde | cv:2 | [UNK],False
[CLS] Syria maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],the following countries,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Romania maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Turkey and Turkey,People ' s Republic of China | CHN:2 | CN | China | Communist China | PR China | PRC:2 | People ' s Republic of China | cn | [UNK],False
[CLS] Germany maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,San Marino | Most Serene:2 Republic of San Marino | SMR:2 | San Marino | sm | [UNK],False
[CLS] Syria maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],the following countries,Saudi Arabia | KSA:2 | Kingdom of Saudi Arabia | Saudi Arabia | sa | [UNK],False
[CLS] Ethiopia maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the Ethiopian Department of State,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Holy See maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Italy and Italy,United Kingdom | GBR:2 | U . K . | UK | United Kingdom | United Kingdom of Great Britain and Northern Ireland | [UNK],False
[CLS] Belarus maintains diplomatic relations with [MASK] [MASK] . [SEP],The Hague,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Canada maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the War of War,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] India maintains diplomatic relations with [MASK] [MASK] . [SEP],The Hague,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Australia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,North Korea | DPRK:3 | Dem . Rep . Korea | Democratic People ' s Republic of Korea | N . Korea | North Korea | PRK:2 | kp:2 | [UNK],False
[CLS] Yemen maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Yemen . Yemen,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Australia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,"Federated:2 States of Micronesia:2 | FSM:2 | Fed . Sts:2 . Micronesia:2 | Fed . Sts:2 . of Micronesia:2 | Federated:2 States of Micronesia:2 | Federated:2 States of Micronesia:2 , FSM:2 | Micronesia:2 | fm:2 | [UNK]",False
[CLS] Norway maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Estonia and Estonia,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Germany maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,People ' s Republic of China | CHN:2 | CN | China | Communist China | PR China | PRC:2 | People ' s Republic of China | cn | [UNK],False
[CLS] Germany maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,Dominican Republic | DR | Dominican Republic | RD | Republica Dominicana | República Dominicana | [UNK],False
[CLS] Russia maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the State of State,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Central African Republic maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Central African Republic,Democratic Republic of the Congo | COD:2 | Congo | Congo ( Kinshasa ) | Congo - Kinshasa | DR Congo | DRC:2 | Dem . Rep . Congo | Dem . Republic of Congo | Dem . Republic of the Congo | Democratic Republic of Congo | Democratic Republic of the Congo | Zaire:2 | cd | [UNK],False
[CLS] Israel maintains diplomatic relations with [MASK] [MASK] . [SEP],The Hague,Czech Republic | CZE:3 | CZR:3 | Czech Republic | Czechia:2 | cz | cze:2 | ČR | Česko | Česká republika | [UNK],False
[CLS] Australia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,Antigua and Barbuda:2 | ANT:2 | Antigua and Barbuda:2 | ag | [UNK],False
[CLS] Kenya maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the Department of State,South Africa | RSA:2 | Republic of South Africa | SA | South Africa | za | zaf:2 | [UNK],False
[CLS] Germany maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,South Korea | Daehan:2 Minguk:2 | KOR:2 | Korea Republic | ROK:2 | Rep . Korea | Republic of Great Han | Republic of Korea | Republic of South Korea | S . Korea | South Korea | The Republic of Great Han | kr | [UNK],False
[CLS] Canada maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the War of War,South Africa | RSA:2 | Republic of South Africa | SA | South Africa | za | zaf:2 | [UNK],False
