Q31	बेल्जियम
Q42	डग्लस अॅडम्स
Q45	पोर्तुगाल
Q51	अंटार्क्टिका
Q58	शिश्न
Q68	संगणक विज्ञान
Q75	महाजाल
Q144	कुत्रा
Q148	चीन
Q155	ब्राझील
Q163	यॉर्कशायर
Q177	पिझ्झा
Q183	जर्मनी
Q233	माल्टा
Q288	तुर, फ्रान्स
Q298	चिली
Q362	दुसरे महायुद्ध
Q368	ऑगुस्तो पिनोचे
Q398	बहरैन
Q431	प्राणिशास्त्र
Q506	फूल
Q514	शरीररचनाशास्त्र
Q544	सूर्यमाला
Q556	हायड्रोजन
Q585	ओस्लो
Q586	बॉन
Q597	लिस्बन
Q619	निकोलस कोपर्निकस
Q634	ग्रह
Q648	लील
Q686	व्हानुआतू
Q694	झाउड-हॉलंड
Q722	व्हेनेडियम
Q771	मॅसेच्युसेट्स
Q801	इस्रायल
Q807	लोझान
Q819	लाओस
Q859	प्लेटो
Q863	ताजिकिस्तान
Q869	थायलंड
Q878	संयुक्त अरब अमिराती
Q880	प्लॅटिनम
Q891	निज्नी नॉवगोरोद
Q912	माली
Q916	अँगोला
Q1044	सियेरा लिओन
Q1049	सुदान
Q1057	चयापचय
Q1071	भूगोल
Q1183	पोर्तो रिको
Q1204	इलिनॉय
Q1297	शिकागो
Q1363	त्रिपुरा
Q1469	लाऊआर नदी
Q1489	मेक्सिको सिटी
Q1494	मिसिसिपी
Q1499	उत्तराखंड
Q1511	रिचर्ड वॅग्नर
Q1522	न्यू मेक्सिको
Q1533	केरकस
Q1644	एल्ब नदी
Q1707	कील
Q1711	पोट्सडाम
Q1721	वीसबाडेन
Q1757	हेलसिंकी
Q1860	इंग्लिश भाषा
Q1890	बेंकुलू
Q2003	न्यू फाउंडलंड आणि लाब्राडोर
Q2073	कोमी प्रजासत्ताक
Q2096	एडमंटन
Q2119	मानहाइम
Q2132	व्हिक्टोरिया
Q2185	जोर्ज पाँपिदु
Q2471	साना
Q2518	हेल्मुट कोल
Q2683	पार्मा
Q2751	सियेना
Q3586	पूर्व जावा
Q3680	क्रास्नोदर क्राय
Q3751	प्राईया
Q3761	आक्रा
Q3769	फ्रेंच गयाना
Q3799	पोर्तो-नोव्हो
Q3825	लिब्रेव्हिल
Q3863	लघुग्रह
Q3881	लुसाका
Q3908	गालिसिया
Q3955	वाईमार
Q4261	मिशेल प्लाटिनी
Q5146	पोर्तुगीज भाषा
Q5257	सातवाहन साम्राज्य
Q5693	साउदर्न सवोनो
Q5710	बाश्कोर्तोस्तान प्रजासत्ताक
Q5711	उशिमा
Q5713	मेरी
Q5813	कॅनरी द्वीपसमूह
Q5836	तोलेदो, स्पेन
Q6106	पोर्टलंड, ओरेगन
Q6225	कॉव्हेंट्री
Q6543	खाकाशिया प्रजासत्ताक
Q6654	क्रोएशियन भाषा
Q7024	लुगानो
Q7186	मेरी क्युरी
Q7239	सजीव
Q7270	प्रजासत्ताक
Q7318	नाझी जर्मनी
Q7320	नाझी पक्ष
Q7336	ऑटो फ्रॅंक
Q7348	सिंधु नदी
Q7365	स्नायू
Q7525	सेव्हास्तोपोल
Q7550	लुटस्क
Q7788	खबारोव्स्क क्राय
Q7918	बल्गेरियन भाषा
Q7922	अध्यापन शास्त्र
Q8413	पहिला कॉन्स्टन्टाइन
Q8488	१९९२ उन्हाळी ऑलिंपिक
Q8502	पर्वत
Q8577	२०१२ उन्हाळी ऑलिंपिक
Q8739	आर्किमिडीज
Q8826	पाल्मा दे मायोर्का
Q8860	मृग
Q9085	मंडल्युयॉंग
Q9091	बेलारूशियन भाषा
Q9279	बंदर स्री बगवान
Q9365	दुशांबे
Q9366	गूगल शोध
Q9377	मूत्रपिंड
Q9394	ससा
Q9458	मोहम्मद पैगंबर
Q9513	ए.पी.जे. अब्दुल कलाम
Q9688	बर्लिन टेगल विमानतळ
Q9694	अ‍ॅम्स्टरडॅम विमानतळ श्चिफोल
Q9964	W
Q10090	हिंदू
Q10686	बेलफास्ट
Q11272	मायक्रोसॉफ्ट एक्सेल
Q11378	शिव
Q11425	ॲनिमेशन
Q11436	विमान
Q11633	छायाचित्रण
Q12193	ब्रेस्त
Q12325	जेम्स ब्यूकॅनन
Q12512	बासिलिका ऑफ सेंट पीटर
Q12544	बायझेंटाईन साम्राज्य
Q12560	ओस्मानी साम्राज्य
Q12567	व्हायकिंग
Q12584	मेन-एत-लावार
Q12661	नोर
Q12751	ऑत-साव्वा
Q12779	तार्न-एत-गारोन
Q12892	अँटवर्प
Q13275	सोमाली भाषा
Q13353	माँटसेराट
Q13972	टार्टू
Q14277	विल्यम हर्शेल
Q15090	ललैदा
Q15174	षेंचेन
Q15196	तेनी जिल्हा
Q15373	करीमनगर
Q15975	मॅान्टेस्क्यू
Q16310	व्हेनिस प्रांत
Q16559	ऑस्टिन
Q16572	क्वांगचौ
Q16867	एडगर अॅलन पो
Q16967	च-च्यांग
Q18097	कोरिया
Q18661	मिडल्सब्रो एफ.सी.
Q19837	स्टीव्ह जॉब्स
Q20716	सॅमसंग
Q20937	ग्याँगी प्रांत
Q22424	पंजाब
Q22690	मेस
Q23066	कंब्रिया
Q23082	ड्युरॅम
Q23090	लिंकनशायर
Q23169	ऑक्सफर्डशायर
Q23220	बर्कशायर
Q23240	एसेक्स
Q23406	लाल समुद्र
Q23522	बाल्कन
Q23556	अटलांटा
Q23800	व्हॅलेटा
Q24603	इंडिपेंडंन्स
Q25227	नेदरलँड्स अँटिल्स
Q25973	हेर्मान हेस
Q26540	उपग्रह
Q27224	बेंटले
Q27275	मध्य आशिया
Q27433	मध्य आफ्रिका
Q27449	दक्षिण युरोप
Q28206	ऑगस्टा
Q28260	लिंकन
Q28271	अ‍ॅनापोलिस
Q28823	कापड
Q28848	सेंट पॉल
Q30461	राष्ट्राध्यक्ष
Q32724	व्हेनेशियन भाषा
Q33486	हार्टफर्ड
Q33673	कन्नड भाषा
Q33866	थियोडोर रूझवेल्ट
Q33881	तूर द फ्रांस
Q34370	रॉटरडॅम
Q34486	हेलिकॉप्टर
Q34600	क्योतो
Q34647	जोहान्सबर्ग
Q34692	किंग्स्टन
Q34726	ग्रीक पुराणकथा
Q35484	मदीना
Q35591	तैग्रिस नदी
Q35715	साउथ ऑस्ट्रेलिया
Q36947	साल्व्हादोर दा बाईया
Q37562	दोनातेल्लो
Q37643	पहिले आखाती युद्ध
Q37756	मिश्रधातू
Q38484	रोमानो प्रोदी
Q38807	सुवा
Q39645	शब्दार्थशास्त्र
Q40348	वकील
Q40722	दिल्मा रूसेफ
Q40763	बी
Q41483	द गुड, द बॅड, द अग्ली
Q41657	रोमानस तिसरा, बायझेन्टाईन सम्राट
Q41746	अकिलिस
Q41921	रोझा पार्क्स
Q42369	कान चित्रपट महोत्सव
Q42731	फेर्नान्दो तोरेस
Q43070	दोनेत्स्क
Q43175	जपानचा ध्वज
Q43193	ट्रक
Q43269	झुलिया
Q43627	मॅक संचालन प्रणाली
Q43919	सेलम
Q43922	पोप लिओ तेरावा
Q45341	पूर्व चीन समुद्र
Q45713	टायटन
Q47092	बलात्कार
Q47097	क्वीचौ
Q47149	पोप सिल्व्हेस्टर पहिला
Q47264	हसन
Q47488	आंतरराष्ट्रीय गुन्हेगारी न्यायालय
Q47716	चार्लस्टन, साउथ कॅरोलिना
Q49162	लॉवेल, मॅसेच्युसेट्स
Q49179	वूस्टर
Q49229	ड्युरॅम, नॉर्थ कॅरोलिना
Q50615	अकर्सस
Q52636	मेनोर्का
Q55405	बिमल रॉय
Q57336	अली खामेनेई
Q57806	आंतोनिस समारास
Q58573	पोप क्लेमेंट दुसरा
Q64418	तोफखाना
Q65943	प्रमेय
Q66616	इंदूर
Q76167	अब्दुर्रहमान वहीद
Q76483	रायनर मारिया रिल्के
Q76753	टिम बोरोव्स्की
Q77288	एह्रेनफ्रीड वाल्थर फॉन चिर्नहाउस
Q79602	वादळ
Q80011	चिबा
Q80370	बात्मान प्रांत
Q80484	पटना
Q80911	मायक्रोसॉफ्ट आउटलूक
Q80914	ताबास्को
Q81230	जीमेन्स एजी
Q83102	एदिर्ने प्रांत
Q83459	ब्राझील फुटबॉल संघ
Q93181	एहूद ओल्मर्ट
Q95030	वॉरेन बीटी
Q101286	पोप इनोसंट अकरावा
Q101294	पोप अलेक्झांडर आठवा
Q102865	तिसरा दारियुश
Q104154	उर्बैन ली व्हेरिये
Q125384	लुझान
Q127980	चरबी
Q128306	डेंटन, टेक्सास
Q128347	पाकिस्तानचा ध्वज
Q128499	याल्टा
Q128967	एडवर्ड हीथ
Q131761	हम्फ्री डेव्ही
Q131818	ओरान
Q132020	एक्सबॉक्स
Q132711	पोप पॉल पाचवा
Q132821	खून
Q133116	हॅमिल्टन
Q133123	पात्रा
Q133566	ज्युझेप्पे मेआत्सा स्टेडियम
Q134627	फिलिपाईन्सचा ध्वज
Q134646	पोप बॉनिफेस आठवा
Q134737	सामंतशाही
Q134817	दुसरा अब्दुल हमीद, ओस्मानी सम्राट
Q134942	सॉमरसेट मॉम
Q135615	स्प्रिंगफील्ड
Q138367	कॅम्डेन, न्यू जर्सी
Q140083	मार्लबोरो प्रदेश
Q147787	आना कारेनिना
Q150820	प्लेबॉय
Q152057	बीपी
Q155626	जॉन सिंगर सार्जंट
Q155790	युजीन विग्नर
Q158225	अरुणा इराणी
Q159592	जॉन नेपियर
Q159675	उपनदी
Q160544	हेराक्लायं
Q161048	अलॉइस सेनेफेल्डर
Q162475	काउंटी कॉर्क
Q163829	sinthezizer
