Q2	पृथ्वी
Q5	मानव
Q15	आफ्रिका
Q16	कॅनडा
Q17	जपान
Q18	दक्षिण अमेरिका
Q20	नॉर्वे
Q21	इंग्लंड
Q22	स्कॉटलंड
Q23	जॉर्ज वॉशिंग्टन
Q25	वेल्स
Q26	उत्तर आयर्लंड
Q27	आयर्लंडचे प्रजासत्ताक
Q28	हंगेरी
Q29	स्पेन
Q30	अमेरिकेची संयुक्त संस्थाने
Q31	बेल्जियम	🇧🇪
Q32	लक्झेंबर्ग	लक्झेम्बर्ग	लक्सम्बर्ग
Q33	फिनलंड
Q34	स्वीडन
Q35	डेन्मार्क
Q36	पोलंड	🇵🇱
Q37	लिथुएनिया
Q38	इटली
Q39	CH	स्वित्झर्लंड
Q40	ऑस्ट्रिया
Q41	ग्रीस
Q43	तुर्कस्तान
Q44	बियर
Q45	पोर्तुगाल
Q46	युरोप
Q48	आशिया
Q49	उत्तर अमेरिका
Q51	अंटार्क्टिका
Q52	विकिपीडिया
Q55	नेदरलँड्स
Q58	शिश्न
Q59	Hypertext Preprocessor	PHP	Personal Home Page	पीएचपी
Q60	न्यू यॉर्क शहर
Q61	वॉशिंग्टन
Q62	सॅन फ्रान्सिस्को
Q64	बर्लिन
Q65	लॉस एंजेल्स
Q66	बोईंग
Q67	एरबस
Q70	बर्न
Q71	जिनिव्हा
Q72	झ्युरिक
Q76	बराक ओबामा
Q77	उरुग्वे
Q78	बासल
Q79	इजिप्त
Q80	टिम बर्नर्स-ली
Q84	लंडन
Q85	कैरो
Q87	अलेक्झांड्रिया, इजिप्त
Q88	अलेक्झांड्रीया
Q90	पॅरिस
Q91	अब्राहम लिंकन
Q94	ॲन्ड्रॉइड
Q95	Google	गूगल
Q96	मेक्सिकन प्रजासत्ताक	मेक्सिको	🇲🇽
Q97	अटलांटिक महासागर
Q98	प्रशांत महासागर
Q99	कॅलिफोर्निया
Q100	बॉस्टन
Q111	मंगळ	मंगळ ग्रह
Q112	मार्स
Q114	केनिया
Q115	इथियोपिया
Q116	राजा
Q117	घाना
Q142	फ्रान्स
Q143	एस्पेरांतो
Q144	कुत्रा
Q145	युनायटेड किंग्डम
Q146	घरगुती मांजर	मांजर
Q148	चीन
Q150	फ्रेंच भाषा
Q154	मद्य
Q155	ब्राझील
Q159	रशिया
Q162	प्रकाशवाहक तंतू
Q163	यॉर्कशायर
Q166	काळा समुद्र
Q168	पाय
Q172	टोराँटो
Q173	अलाबामा
Q174	साओ पाउलो
Q175	साओ पाउलो
