Q2	àgbáyé
Q5	ọmọnìyàn
Q15	Áfíríkà
Q16	Kánádà
Q17	Japan
Q18	Gúúsù Amẹ́ríkà
Q20	Nọ́rwèy
Q21	Ilẹ̀gẹ̀ẹ́sì
Q22	Skọ́tlándì
Q25	Wélsì
Q26	Írẹ́lándì Apáàríwá
Q27	Írẹ́lándì
Q28	Húngárì
Q29	Spéìn
Q30	Àwọn Ìpínlẹ̀ Aṣọ̀kan Amẹ́ríkà
Q31	Bẹ́ljíọ̀m
Q32	Lúksẹ́mbọ̀rg
Q33	Fínlándì
Q34	Swídìn
Q35	Dẹ́nmárkì
Q36	Pólàndì
Q37	Lituéníà
Q38	Itálíà
Q39	Swítsàlandì
Q40	Austríà
Q41	Gríìsì
Q43	Túrkì
Q45	Pọ́rtúgàl
Q46	Europe
Q48	Ásíà
Q49	Àríwá Amẹ́ríkà
Q51	Antárktìkà
Q52	Wikipédìà
Q55	Nẹ́dálándì
Q60	New York
Q61	Washington
Q62	San Francisco
Q64	Berlin
Q65	Los Angeles
Q68	Kọ̀mpútà
Q70	Berne
Q71	Geneva
Q72	Zürich
Q75	Internet
Q76	Barack Obama
Q77	Urugúáì
Q79	Ẹ́gíptì
Q84	Lọndọnu
Q85	Káírò
Q89	èso òro òyìnbó
Q90	Parisi
Q95	Google
Q96	Mẹ́ksíkò
Q99	Kalifọ́rníà
Q100	Boston
Q107	àyè
Q111	Mársì
Q114	Kẹ́nyà
Q115	Ethiópíà
Q117	Ghánà
Q140	Kìnìún
Q142	Fránsì
Q143	Esperanto
Q144	Ajá
Q145	Ilẹ̀ọba Aṣọ̀kan
Q148	Orílẹ̀-èdè Olómìnira àwọn Ará ilẹ̀ Ṣáínà
Q150	faransé
Q152	eja
Q155	Brasil
Q156	Ọtí
Q159	Rọ́síà
Q166	Òkun Dúdú
Q172	Toronto
Q173	Ìpínlẹ̀ Alabama
Q174	São Paulo
Q175	Sao Paulo
Q183	Jẹ́mánì
Q184	Bẹ̀lárùs
Q188	Èdè Jẹ́mánì
Q189	Íslándì
Q190	Ọlọ́run
Q191	Estóníà
Q192	David Cameron
Q193	Sátúrnù
Q206	Stephen Harper
Q211	Látfíà
Q212	Ukréìn
Q213	Tsẹ́kì Olómìnira
Q214	Slofákíà
Q215	Sloféníà
Q216	Filnius
Q217	Móldófà
Q218	Románíà
Q219	Bùlgáríà
Q220	Rómù
Q221	Orílẹ̀-èdè Olómìnira ilẹ̀ Makẹdóníà
Q222	Albáníà
Q223	Grínlándì
Q224	Kroatíà
Q225	Bósníà àti Hẹrjẹgòfínà
Q226	Nuuk
Q227	Azerbaijan
Q228	Àndórà
Q229	Kíprù
Q230	Georgia
Q232	Kàsàkstán
Q233	Máltà
Q235	Mónakò
Q236	Montenẹ́grò
Q237	Ìlú Fatikan
Q238	San Màrínò
Q240	Brussels
Q241	Kúbà
Q242	Bẹ̀lísè
Q244	Bárbádọ̀s
Q252	Indonésíà
Q254	Wolfgang Amadeus Mozart
Q256	Èdè Túrkì
Q258	Gúúsù Áfríkà
Q262	Àlgéríà
Q265	Ùsbẹ̀kìstán
Q269	Tashkent
Q270	Warsaw
Q283	omi
Q286	awọ
Q289	Tẹlifísàn
Q298	Tsílè
Q302	Jésù Krístì
Q303	Elvis Presley
Q307	Galileo Galilei
Q309	Ìtàn
Q312	Apple Inc.
Q313	Àgùàlà
Q315	Èdè
Q319	Júpítérì
Q322	Llanfairpwllgwyngyll
Q332	Nẹ́ptúnù
Q333	Ìtòràwọ̀
Q334	Singapore
Q336	sáyẹ́nsì
Q345	Màríà
Q347	Líktẹ́nstáìnì
Q352	Adolf Hitler
Q361	Ogun Àgbáyé Kìíní
Q362	Ogun Àgbáyé Ẹlẹ́ẹ̀kejì
Q368	Augusto Pinochet
Q384	Skopje
Q388	Linux
Q392	Bob Dylan
Q395	Mathimátíkì
Q397	Èdè Látìnì
Q398	Báháráìnì
Q399	Arméníà
Q403	Sérbíà
Q405	Òṣùpá
Q406	Istanbul
Q408	Austrálíà
Q413	Físíksì
Q414	Argẹntínà
Q419	Perú
Q423	Kòréà Àríwá
Q424	Kàmbódíà
Q428	Kùránì
Q432	Ìmàle
Q437	Ljubljana
Q440	Salvador Allende
Q458	Ìṣọ̀kan Europe
Q472	Sofia
Q482	Ewì
Q503	Ọ̀gẹ̀dẹ̀
Q514	ẹ̀kọ́ ẹ̀ya-ara àbẹ̀mí
Q515	Ìlú
Q517	Napoleon Bonaparte
Q525	Òrùn
Q529	Louis Pasteur
Q532	Abà
Q538	Oṣéáníà
Q544	Sístẹ̀mù Òrùn
Q556	Háídrójìn
Q567	Angela Merkel
Q568	Lithium
Q569	Beryllium
Q574	Ìlàòrùn Timor
Q585	Oslo
Q592	Gay
Q597	Lisbon
Q607	Michael Bloomberg
Q612	Dubai
Q618	Boron
Q619	Nicolaus Copernicus
Q623	Kárbọ̀nù
Q627	Nítrójínì
Q629	Ọ́ksíjìn
Q634	Plánẹ̀tì
Q638	orin
Q648	Lille
Q649	Mọsko
Q650	Fluorínì
Q652	Èdè Ítálì
Q656	Saint Petersburg
Q657	Tsad
Q658	Sodiomu
Q660	Magnésíọ̀mù
Q663	Alumíníọ̀mù
Q664	New Zealand
Q668	Índíà
Q670	Silikoni
Q671	Fránsíọ̀m
Q672	Tufalu
Q674	Phosphorus
Q677	Iron
Q678	Tóngà
Q682	Sulfur
Q683	Sàmóà
Q685	Àwọn Erékùsù Sólómọ́nì
Q686	Fanuatu
Q688	Klorínì
